source_id,source_row,statement,design_point,gen_model,judge_model,fact_classification,fact_confidence,fact_explanation,physical_classification,physical_confidence,physical_explanation,literal language_classification,literal language_confidence,literal language_explanation,positive_classification,positive_confidence,positive_explanation,knowledge_classification,knowledge_confidence,knowledge_explanation,everyday_classification,everyday_confidence,everyday_explanation,commonsense,commonsense_explanation
f2ec0bbcf690afc02b88e3bfd083a56e231d1f9cf49ab91331ee0dd1651b9a19:1,4,"Because trust is society’s glue, institutions should prize honesty over convenient deception.","['opinion', 'social', 'figure of speech', 'normative', 'reasoning', 'abstract']",openai/gpt-6-astra,x-ai/grok-4.6,opinion,4,The claim that institutions ought to prize honesty cannot be shown true or false independently of values; it is a subjective recommendation.,social,4,"Trust, institutions, honesty and deception are all socially constructed human phenomena, not physical or natural-scientific facts.",figure of speech,4,"The phrase “trust is society’s glue” is an explicit metaphor, so the sentence as a whole is figurative rather than purely literal.",normative,4,"The word “should” issues a value-laden prescription about how institutions ought to behave, not a description of an empirical regularity.",reasoning,3,"The sentence presents a conclusion (“institutions should prize honesty”) that is inferred from the premise that trust holds society together, combining an idea with a logical implication.",abstract,3,"The statement concerns general societal institutions and an unobservable metaphor of “glue,” rather than a concrete situation an individual would encounter in ordinary daily life.",1,"The idea that honesty underpins the trust that holds social institutions together is a widely shared, intuitively accepted piece of practical wisdom."
c3a6e123e76f9e8ac53c6e552d8d6f47abda81035069297ab235801803b87703:1,3,"Since education opens society’s doors, opportunity should not depend on inherited keys.","['opinion', 'social', 'figure of speech', 'normative', 'reasoning', 'abstract']",openai/gpt-6-astra,x-ai/grok-4.6,opinion,4,"The statement asserts a value-based claim about how opportunity should be allocated, which is inherently subjective and cannot be independently verified as factually correct or incorrect.",social,4,"It concerns human-made social institutions like education, societal opportunity, and inheritance, rather than physical or natural phenomena.",figure of speech,4,"Phrases like 'opens society’s doors' and 'inherited keys' are metaphors, not literal descriptions.",normative,4,"The use of 'should not' indicates a prescriptive judgment about what ought to be, not a description of what is.",reasoning,3,"It draws a conclusion about opportunity from a premise about education, using logical combination rather than merely reporting an observation.",abstract,3,"The ideas of societal doors and inherited keys represent general principles about social mobility, not specific everyday situations people directly experience.",0,"This is a rhetorical, value-laden argument about social justice rather than an instance of practical, widely shared human common sense knowledge."
6732baa85f5c60ceef06f81d18857b709fd14e484c7f63864577b77ab11d7f0d:1,2,"Because justice should be blind, wealth should never buy a lighter verdict.","['opinion', 'social', 'figure of speech', 'normative', 'reasoning', 'abstract']",openai/gpt-6-astra,x-ai/grok-4.6,opinion,4,The statement expresses a subjective value about how justice ought to work rather than a claim that can be shown true or false independently of anyone’s beliefs.,social,4,"Justice, wealth, and verdicts are human legal and social constructs, not physical or natural phenomena.",figure of speech,4,"“Justice should be blind” is a conventional metaphor for impartiality, not a literal claim about vision.",normative,4,The wording “should be” and “should never” prescribes a value rather than describing an empirical regularity.,reasoning,4,It draws the conclusion that wealth must not affect verdicts from the premise that justice ought to be impartial.,abstract,3,"The claim is a general principle of justice, not a concrete situation that an individual would encounter in ordinary daily life.",1,The idea that legal outcomes should not depend on wealth is a widely shared intuitive principle of fairness.
3b9d8daa558522ad6dd41d20c62d33347447834696d92d066c20786710dee1bb:1,1,"Since power is a borrowed crown, leaders should serve rather than rule.","['opinion', 'social', 'figure of speech', 'normative', 'reasoning', 'abstract']",openai/gpt-6-astra,x-ai/grok-4.6,opinion,4,The assertion that leaders should serve rather than rule is a subjective value judgment that cannot be shown true or false independently of personal or cultural views. The metaphorical premise reinforces that the whole statement is inherently opinion rather than verifiable fact.,social,4,"Power, leadership, serving, and ruling are all human-constructed social and political concepts, not measurable physical properties or natural laws.",figure of speech,4,"The phrase 'power is a borrowed crown' is an explicit metaphor, so the statement relies on figurative rather than plain, literal language.",normative,4,"The word 'should' together with the contrast 'serve rather than rule' expresses a prescription about how leaders ought to act, which is a value-laden normative claim.",reasoning,3,"The connective 'Since' presents a conclusion (leaders should serve) as following from a premise (power is borrowed), thereby combining an idea with an implied inference rather than merely reporting an observation.",abstract,3,"The statement advances a general philosophical principle about the nature of power that cannot be arrived at solely from any single person's ordinary, day-to-day encounters.",0,"The statement is a metaphorical ethical maxim rather than a piece of practical, widely shared knowledge that people routinely apply in everyday situations."
4b02304e3fe9f4fe8c4e6bf1e4055687223152838a03f1081d808a605f799ac6:1,5,"Since freedom needs room to breathe, governments should tolerate peaceful dissent.","['opinion', 'social', 'figure of speech', 'normative', 'reasoning', 'abstract']",openai/gpt-6-astra,x-ai/grok-4.6,opinion,4,The claim cannot be shown true or false independently of values; it is a subjective political assertion.,social,4,"Freedom, government, and dissent are human institutions and norms, not physical or natural properties.",figure of speech,4,The phrase 'freedom needs room to breathe' is a metaphor rather than a literal description.,normative,4,"The word 'should' expresses a prescription about what governments ought to do, not a description of what they do.",reasoning,4,"A premise about freedom is used to reach a policy conclusion, forming an explicit argument.",abstract,3,The statement articulates a general political principle rather than a situation people directly encounter in ordinary daily life.,1,"The idea that peaceful disagreement should be tolerated is a widely shared, intuitive civic principle in many societies."
43fdc20b8a52c2a855be66d1897e8a7b5c3d2e6a7ea723213579ca6c65b257f0:1,6,"Because poverty is no moral stain, societies should offer help without humiliation.","['opinion', 'social', 'figure of speech', 'normative', 'reasoning', 'abstract']",openai/gpt-6-astra,x-ai/grok-4.6,opinion,4,The claim that poverty is not a moral stain and that societies ought to help without humiliation is a value judgment that cannot be shown true or false independently of personal or cultural views.,social,4,"Poverty, morality, humiliation, and societal assistance are human-created social and ethical constructs, not physical or natural phenomena.",figure of speech,4,The phrase 'moral stain' is a metaphor that treats poverty as a blemish on character rather than using strictly literal language.,normative,4,"The statement issues a 'should' prescription about how societies must treat the poor, which is a value judgment rather than a description of an empirical regularity.",reasoning,4,"The word 'Because' explicitly links a moral premise to a policy conclusion, presenting an argument rather than a bare observation.",abstract,3,"Although poverty and aid occur in daily life, the statement asserts a general ethical principle about societal obligations that cannot be derived solely from individual experience.",0,"The statement is a contested ethical and political argument rather than shared, uncontroversial practical knowledge that people typically treat as common sense."
c89c33a21efc171afdd236b515c67a1ef9f3f59953f33cb86ebd05a8671e7645:1,7,"Since cultures are woven from many threads, belonging should not demand uniformity.","['opinion', 'social', 'figure of speech', 'normative', 'reasoning', 'abstract']",openai/gpt-6-astra,x-ai/grok-4.6,opinion,4,The claim that belonging should not demand uniformity is a subjective value judgment that cannot be proven true or false independently of personal or cultural views.,social,4,"The statement addresses cultures, belonging, and social expectations, which are products of human society rather than physical laws or measurable natural phenomena.",figure of speech,4,"The description of cultures as 'woven from many threads' is a metaphor, making the language figurative rather than strictly literal.",normative,4,"The use of 'should not' indicates a prescription about how things ought to be, rather than a description of empirical reality.",reasoning,4,"The statement uses a premise about cultural diversity to infer a conclusion about the nature of belonging, constituting a logical argument.",abstract,3,"While people experience belonging, the statement presents a general philosophical principle about cultures that is not tied to a specific everyday situation observable by an individual.",0,"This is a metaphorical, normative opinion rather than a basic, widely-shared practical understanding that constitutes human common sense."
4da83a7fcb7024982d11dc9755df34c950542ceedec36469033cc5f8caca516e:1,8,"Because markets need guardrails, profit should not excuse exploitation.","['opinion', 'social', 'figure of speech', 'normative', 'reasoning', 'abstract']",openai/gpt-6-astra,x-ai/grok-4.6,opinion,4,The claim that profit should not excuse exploitation is a subjective value judgment that cannot be shown true or false independently of anyone's beliefs.,social,4,"Markets, profit, guardrails, and exploitation are human-created economic and moral constructs, not features of the physical world.",figure of speech,4,The word 'guardrails' is a metaphor for regulations rather than a literal physical barrier.,normative,4,The statement uses 'should not' to prescribe a moral standard rather than describe an empirical regularity.,reasoning,4,It presents a conclusion reached by combining the premise that markets need constraints with a further inference about profit and exploitation.,abstract,3,The claim concerns systemic economic and ethical principles that cannot be arrived at solely from ordinary individual experience.,0,"The statement is a contested ethical-economic opinion, not a widely shared, obvious practical truth that counts as common sense."
fb7dc2989fd8a5e05f4a2fc0ef6043e86e930a86ef34a63cf40a980f8c115d11:1,9,"Since future generations lack a voice, today’s policies should leave them a livable inheritance.","['opinion', 'social', 'figure of speech', 'normative', 'reasoning', 'abstract']",openai/gpt-6-astra,x-ai/grok-4.6,opinion,4,The claim that policies ought to leave a livable inheritance is a value judgment that cannot be shown true or false independently of subjective ethical views.,social,4,"The statement concerns human political decisions, intergenerational ethics, and socially constructed notions of voice and inheritance rather than measurable physical regularities.",figure of speech,3,Phrases such as “lack a voice” and “livable inheritance” are metaphorical rather than strictly literal descriptions of future people or bequests.,normative,4,"The word “should” explicitly advances a prescription about what policy-makers ought to do, not a description of existing facts.",reasoning,4,"The sentence draws an explicit inference (“since 	o should”) that combines a premise with a conclusion, rather than merely reporting an observation.",abstract,3,"Intergenerational policy obligations are a high-level ethical and political principle, not a situation people directly encounter in ordinary daily life.",1,"The intuition that those who cannot speak for themselves still deserve consideration is a widely shared, everyday moral heuristic."
5deae912b1737fa7fdde78341f0a8a42d36ee1e92894b66ba2f9e705f42a8464:1,10,"Because technology is a tool, not a master, innovation should serve human dignity.","['opinion', 'social', 'figure of speech', 'normative', 'reasoning', 'abstract']",openai/gpt-6-astra,x-ai/grok-4.6,opinion,4,The claim that innovation ought to serve human dignity cannot be shown true or false by independent evidence; it is a subjective value assertion.,social,4,"The statement concerns human purposes, values, and the proper social role of technology rather than any empirically measurable physical property.",figure of speech,4,"Calling technology a 'tool, not a master' is a metaphor that personifies technology; the language is not meant literally.",normative,4,"The word 'should' expresses a prescription about how innovation ought to behave, not a description of an existing empirical regularity.",reasoning,3,"The 'because' clause supplies a premise from which a conclusion is drawn, so the sentence presents an argument rather than a bare observation.",abstract,4,The ethical principle that innovation must serve human dignity is a high-level generalization that cannot be reached solely by ordinary personal experience.,0,"The statement is a philosophical-ethical slogan, not a piece of widely shared practical knowledge that people rely on in everyday situations."
