source_id,source_row,statement,design_point,gen_model,judge_model,fact_classification,fact_confidence,fact_explanation,physical_classification,physical_confidence,physical_explanation,literal language_classification,literal language_confidence,literal language_explanation,positive_classification,positive_confidence,positive_explanation,knowledge_classification,knowledge_confidence,knowledge_explanation,everyday_classification,everyday_confidence,everyday_explanation,commonsense,commonsense_explanation
0e395baf2572f74d3d42ecbe712529df09c6af7eedf84ab588eaa2e2f5b69aea:1,1,Fish rots from the head down.,,platform/published,openai/gpt-6-sol-pro:batch,fact,2,"As a proverb, it suggests that problems in an organization begin with its leaders. That claim could be investigated, though its broad wording makes it difficult to test precisely.",social,4,"The usual meaning concerns leadership and organizations, not the biology of decomposing fish.",figure of speech,4,It is a proverb that uses a rotting fish as a metaphor for an organization in decline.,positive,3,"It describes a supposed pattern about where organizational problems start, rather than saying what anyone ought to do.",knowledge,4,It states an observation or generalization without presenting a chain of reasoning.,abstract,3,It makes a general claim about organizations that goes beyond any single everyday encounter.,1,It expresses a familiar practical insight: leadership can shape the health of an entire organization.
daa84ae1bf0ec4e6ef6ee2e58aa91e684db5d4874551eda36d022a88ca9db20b:1,2,Bread always falls butter side down.,,platform/published,openai/gpt-6-sol-pro:batch,fact,4,The claim can be tested by dropping buttered bread; a single counterexample would show that 'always' is false.,physical,4,"It describes how a physical object lands, which can be observed and measured.",figure of speech,4,"The word 'always' is a familiar exaggeration about an unlucky outcome, rather than a careful claim of certainty.",positive,4,"It purports to describe what happens when bread falls, not what ought to happen.",knowledge,4,It states a purported observation about the world without presenting a logical argument for it.,everyday,3,"Dropping bread is an ordinary experience, although the word 'always' generalizes beyond any one person's observations.",1,"It is a familiar everyday saying about mishaps, even though its absolute wording is not literally true."
d17b0d865369543574149b8cc2a710b0f08062f986fb6734ae712676b884b7c1:1,3,Strawberries are sweet.,,platform/published,openai/gpt-6-sol-pro:batch,fact,3,"Strawberries generally contain sugars and are commonly perceived as sweet, which can be checked through their composition and taste. Sweetness varies with ripeness and individual perception, so the classification is not absolute.",physical,3,"The statement concerns a fruit's taste, which is related to its chemical composition. Taste also involves perception, which slightly lowers confidence.",literal language,4,"It plainly describes how strawberries taste, without a metaphor or other figure of speech.",positive,4,It describes an observable characteristic rather than expressing a value judgment or prescribing what ought to be.,knowledge,4,It states an observation about strawberries rather than a conclusion derived through explicit reasoning.,everyday,4,Eating and tasting strawberries are ordinary experiences through which someone could form this observation.,1,Strawberries tasting sweet is a familiar observation that people can learn through everyday experience.
86a6cb97aaee608868c0c7f372f5dfe1cb8774a33f869554969e7a1aef265c62:1,4,Birds fly south for the winter.,,platform/published,openai/gpt-6-sol-pro:batch,fact,4,"Whether birds migrate south for winter can be checked through observation. The statement is an overgeneralization because not all birds do so, but it is objectively testable.",physical,4,"Bird migration is a biological behavior, not a human belief or social rule.",literal language,4,The sentence describes birds flying in a direction and does not use a metaphor or other figure of speech.,positive,4,It describes a purported pattern in nature rather than expressing a value judgment or prescribing what birds should do.,knowledge,4,It states an observation about bird behavior without presenting a conclusion derived from an argument.,everyday,3,People can encounter migrating birds and seasonal changes in bird populations in ordinary life. Confirming where birds spend winter may require more than one person's direct observation.,1,"It expresses a widely familiar idea about seasonal bird migration, even though it does not apply to every bird."
b68fa506b9da10ced0ef64f161b2d8f8863be2156e022ef7e20ee4045adc8cff:1,5,Bananas are high in potassium.,,platform/published,openai/gpt-6-sol-pro:batch,fact,4,"The potassium content of bananas can be measured and compared with that of other foods, so the claim can be evaluated objectively.",physical,4,"The statement concerns the chemical composition of a fruit, which can be measured empirically.",literal language,4,It directly describes a nutrient in bananas without using metaphor or other figurative language.,positive,4,It makes an empirical claim about the world rather than expressing a value judgment.,knowledge,4,It states a nutritional observation rather than a conclusion developed through an explicit chain of reasoning.,everyday,3,Bananas and information about their nutrients commonly arise in everyday food choices. The classification is slightly less certain because potassium content itself requires measurement to verify.,1,Bananas being a source of potassium is widely known practical knowledge about food.
0b63b12d58097df78304260eab8169eb71f9b070e66be7c42d4d08635f3ba826:1,6,Mountains are larger than hills.,,platform/published,openai/gpt-6-sol-pro:batch,fact,3,"The statement makes a claim about measurable size, rather than a personal preference. Confidence is slightly limited because there is no universally agreed boundary between a hill and a mountain.",physical,4,"It compares the sizes of landforms, which are physical features of the world.",literal language,4,"The words describe a direct size comparison, with no apparent figurative meaning.",positive,4,"It describes how landforms generally compare, rather than saying how they ought to be.",knowledge,4,It states a familiar observation without presenting a chain of reasoning.,everyday,3,People can encounter and compare hills and mountains in ordinary life. Confidence is slightly limited because the statement generalizes beyond any one person's observations.,1,"It expresses a familiar, broadly understood distinction between mountains and hills."
1b454b8b085fac258cbe8edb6af1bd0168d2685cbba1269746c849860c1038e9:1,7,Plants grow towards light.,,platform/published,openai/gpt-6-sol-pro:batch,fact,4,Whether plants grow toward light can be tested through observation and experiments.,physical,4,"The statement describes a biological response to light, not a human belief or social rule.",literal language,4,The words directly describe a pattern of plant growth without using a metaphor or other figure of speech.,positive,4,It describes a tendency in the natural world rather than expressing a value judgment.,knowledge,4,It states an observation about plants rather than presenting a conclusion derived through an explicit chain of reasoning.,everyday,3,"People can notice houseplants leaning toward a window in ordinary life. Although the statement describes a general pattern, it is readily illustrated by everyday experience.",1,"This is a familiar, observable pattern of plant growth that people can recognize without specialized training."
974b43cff6fef3c1f36f7f5aa27b77c7dcbd6f239eb9d53d4ba0d28ff7d23240:1,8,The heart pumps blood through the body.,,platform/published,openai/gpt-6-sol-pro:batch,fact,4,The heart's role in circulating blood can be demonstrated through biological observation.,physical,4,The statement describes a bodily process governed by biology.,literal language,4,It describes what the heart does without using metaphor or exaggeration.,positive,4,It states an empirical regularity rather than a value judgment.,knowledge,4,"It states an established observation about the body, not a conclusion drawn through an expressed chain of reasoning.",abstract,3,"Although everyone experiences a heartbeat, blood circulation throughout the body is not directly observable through ordinary personal experience.",1,The heart's role in circulating blood is widely known basic knowledge about the human body.
7769ee2be388e2df8bf1965532d60a66bc33af47b7a1c06686f7da22c7e4e61c:1,9,Recycling conserves resources.,,platform/published,openai/gpt-6-sol-pro:batch,fact,4,Whether recycling reduces the use of new materials can be tested by comparing resource use with and without recycling.,physical,4,"The claim concerns the measurable use of materials, even though recycling is a human activity.",literal language,4,"The words express a direct claim about recycling, without a metaphor or other figure of speech.",positive,4,"It describes an effect recycling has, rather than saying what anyone ought to do.",knowledge,3,It states a general observation rather than presenting the steps of an argument. Some reasoning may underlie the observation.,everyday,3,"Recycling is an ordinary activity, and reusing materials can make the need for new ones understandable in everyday terms. Its overall resource impact may require broader measurement.",1,It expresses the familiar idea that reusing materials can reduce the need for new resources.
d71efa5bd2b9b70f9861b299931d9023a81500e9739b1c98c49365de18c0b964:1,10,Forests are dense with trees.,,platform/published,openai/gpt-6-sol-pro:batch,fact,4,"Tree density in forests can be observed and measured, so the claim can be assessed objectively.",physical,4,The statement describes a measurable characteristic of a natural environment.,literal language,4,It uses ordinary language to describe forests and trees without figurative meaning.,positive,4,It describes a feature of the world rather than expressing a value judgment.,knowledge,4,It states an observation about forests rather than a conclusion derived through explicit reasoning.,everyday,4,People can directly encounter forests and observe that they contain many trees.,1,"It is a familiar, readily observable fact about forests."
