statement,fact,fact_explanation,fact_confidence,physical,physical_explanation,physical_confidence,literal language,literal language_explanation,literal language_confidence,positive,positive_explanation,positive_confidence,knowledge,knowledge_explanation,knowledge_confidence,everyday,everyday_explanation,everyday_confidence,commonsense,design_point,model
"When central banks print money freely, prices balloon, so savings melt away.",1,"The link between money supply and inflation can be tested with economic data. I am somewhat confident, since magnitudes are debated.",3,0,Money and central banks are human institutions. They are not physical laws.,4,0,"The phrases ""balloon"" and ""melt away"" are metaphors. The wording is not literal.",4,1,It describes an empirical economic regularity rather than a value judgment. I am confident it is not normative.,4,0,"It links a cause, money printing, to consequences through logic. It is not a bare observation.",4,0,Inflation dynamics are macroeconomic patterns that no individual can see directly. I am fairly confident this is not an everyday observation.,3,People widely understand that excessive money creation causes inflation and erodes savings.,"['fact', 'social', 'figure of speech', 'positive', 'reasoning', 'abstract']",anthropic/claude-opus-5.5
"Scarcity makes prices skyrocket, so a drought sends bread costs through the roof.",1,Price responses to shortages are measurable and well documented.,4,0,"Prices and markets are human constructs, not physical phenomena.",3,0,"The phrases ""skyrocket"" and ""through the roof"" are hyperbolic idioms.",4,1,"It describes how markets behave, not how they ought to behave.",4,0,It applies a general principle to derive a specific conclusion.,4,0,"Supply and demand is a market-wide regularity inferred from aggregate data. I am moderately confident, since people also feel prices personally.",3,People know that supply shortages raise prices.,"['fact', 'social', 'figure of speech', 'positive', 'reasoning', 'abstract']",anthropic/claude-opus-5.5
"Rumors spread like wildfire online, so false news outruns corrections.",1,"Spread rates can be measured, and studies support this claim.",3,0,"News and rumors are human social behavior, not physical processes.",4,0,"The phrases ""like wildfire"" and ""outruns"" are a simile and a metaphor.",4,1,It describes an empirical pattern of information flow rather than a norm.,4,0,It draws a conclusion about corrections from how rumors spread.,3,0,Relative spread rates across networks are only visible through large-scale studies. I am fairly confident this is not individually observable.,3,People recognize that misinformation travels faster than retractions.,"['fact', 'social', 'figure of speech', 'positive', 'reasoning', 'abstract']",anthropic/claude-opus-5.5
"Raising interest rates cools an overheated economy, so borrowing slows.",1,Changes in borrowing after rate moves are measurable.,4,0,Interest rates and economies are socially constructed systems.,4,0,"The phrases ""cools"" and ""overheated"" are temperature metaphors.",4,1,"It states an empirical economic mechanism, not a value.",4,0,It infers the result on borrowing from a policy change.,4,0,This is a macroeconomic effect that cannot be seen from personal experience alone.,4,People understand that higher rates make loans costlier and dampen activity.,"['fact', 'social', 'figure of speech', 'positive', 'reasoning', 'abstract']",anthropic/claude-opus-5.5
"Tax hikes on cigarettes choke demand, so fewer people smoke.",1,Smoking rates after tax changes are verifiable.,4,0,Taxes and smoking habits are human institutions and behaviors.,4,0,"The word ""choke"" is used metaphorically here.",3,1,It describes a measured effect rather than saying taxes are good.,4,0,It moves from a price increase to a behavioral conclusion.,4,0,"The population-level effect is established statistically, not through personal experience.",4,People know that higher prices discourage the consumption of harmful goods.,"['fact', 'social', 'figure of speech', 'positive', 'reasoning', 'abstract']",anthropic/claude-opus-5.5
"Mass layoffs drain consumer wallets, so retail sales take a nosedive.",1,Sales data can confirm or refute the claim.,4,0,Employment and retail are human economic constructs.,4,0,"The phrases ""drain wallets"" and ""nosedive"" are metaphors.",4,1,"It describes an empirical link, not a judgment.",4,0,It chains job loss to lower income to lower sales.,4,0,The aggregate effect on sales is an economy-wide pattern.,3,People understand that job losses reduce spending.,"['fact', 'social', 'figure of speech', 'positive', 'reasoning', 'abstract']",anthropic/claude-opus-5.5
"A bank run snowballs, because each withdrawal fuels fear of the next.",1,Bank run dynamics are historically documented.,3,0,Banks and fear-driven behavior are social in nature.,4,0,"The words ""snowballs"" and ""fuels"" are metaphors.",4,1,"It explains a documented mechanism, not a value.",4,0,"It gives a causal explanation using ""because"".",4,0,Systemic panic dynamics are not observable from one person's viewpoint.,4,People grasp that panic in banking is self-reinforcing.,"['fact', 'social', 'figure of speech', 'positive', 'reasoning', 'abstract']",anthropic/claude-opus-5.5
"Compound interest snowballs debt, so unpaid credit cards become a mountain.",1,The growth of compounding debt is mathematically demonstrable.,4,0,"Credit and interest are human financial institutions, although the math itself is physical. I am somewhat confident.",3,0,"The words ""snowballs"" and ""mountain"" are metaphors.",4,1,"It describes a mathematical financial regularity, not a norm.",4,0,It derives debt growth from how compounding works.,4,0,"The exponential growth is understood through calculation rather than casual observation. I am only somewhat confident, since people do see their own bills.",2,People know that unpaid debt grows quickly because of compounding.,"['fact', 'social', 'figure of speech', 'positive', 'reasoning', 'abstract']",anthropic/claude-opus-5.5
"Languages borrow words constantly, so English is a patchwork quilt of tongues.",1,Word origins are verifiable.,4,0,Language is a human social construct.,4,0,"The phrases ""patchwork quilt"" and ""tongues"" are metaphors.",4,1,It describes linguistic reality rather than a value.,4,0,It concludes something about English from a general pattern.,3,0,Etymological history requires scholarly knowledge beyond personal experience.,3,People know that English contains many words from other languages.,"['fact', 'social', 'figure of speech', 'positive', 'reasoning', 'abstract']",anthropic/claude-opus-5.5
"Aging populations shrink the workforce, so pension systems buckle under pressure.",1,Worker-to-retiree ratios and pension finances are measurable.,3,0,Pension systems and workforces are social institutions.,4,0,"The phrase ""buckle under pressure"" is metaphorical.",4,1,"It describes a structural effect, not a moral claim.",4,0,It chains demographics to fiscal consequences.,4,0,This is a demographic trend visible only through statistics.,4,People understand that fewer workers supporting more retirees strains pensions.,"['fact', 'social', 'figure of speech', 'positive', 'reasoning', 'abstract']",anthropic/claude-opus-5.5
"Monopolies strangle competition, so prices climb and innovation stalls.",1,"Price and innovation effects can be studied empirically, although results vary.",3,0,Markets and firms are human constructs.,4,0,"The words ""strangle"" and ""stalls"" are metaphors.",4,1,"It describes effects, although it could read as critical. I am somewhat confident it is not normative.",3,0,It derives outcomes from market structure.,4,0,This is a market-level regularity inferred from economic study.,4,People recognize that a lack of competition harms consumers.,"['fact', 'social', 'figure of speech', 'positive', 'reasoning', 'abstract']",anthropic/claude-opus-5.5
"Housing shortages squeeze renters, so rents shoot up in booming cities.",1,Rent data verify the claim.,4,0,Housing markets and renting are social systems.,4,0,"The words ""squeeze"" and ""shoot up"" are metaphors.",4,1,"It states an empirical pattern, not a judgment.",4,0,It infers a rent rise from a supply shortage.,4,0,The citywide market effect is known from aggregate data.,3,People know that limited housing drives rents higher.,"['fact', 'social', 'figure of speech', 'positive', 'reasoning', 'abstract']",anthropic/claude-opus-5.5
"Stock bubbles eventually pop, because prices detached from value can't float forever.",1,"Market history can test this claim, although bubbles are defined only in hindsight.",3,0,Stock markets are human institutions.,4,0,"The phrases ""bubbles pop"" and ""float"" are metaphors.",4,1,"It is an empirical market claim, not a value.",4,0,It justifies the conclusion with a causal argument.,4,0,"Market cycles are patterns seen across history, not in daily life.",4,People understand that overinflated asset prices tend to crash.,"['fact', 'social', 'figure of speech', 'positive', 'reasoning', 'abstract']",anthropic/claude-opus-5.5
"Tariffs build walls around markets, so imported goods cost more at home.",1,Import prices are measurable.,4,0,Tariffs and trade are human-made rules.,4,0,"The phrase ""build walls"" is a metaphor.",4,1,"It describes a price effect, not whether tariffs are good.",4,0,It derives price consequences from a policy.,4,0,Trade effects are understood through economics rather than direct experience.,3,People know that import taxes raise the prices of foreign goods.,"['fact', 'social', 'figure of speech', 'positive', 'reasoning', 'abstract']",anthropic/claude-opus-5.5
"Cities pull people like magnets, so rural villages steadily empty out.",1,Census data can verify the claim.,4,0,Migration choices and settlements are human social phenomena.,4,0,"The phrase ""like magnets"" is a simile.",4,1,"It describes a demographic trend, not a norm.",4,0,It concludes rural decline from urban attraction.,3,0,Urbanization is a population-level trend seen through data.,4,People are aware of the long-term migration from countryside to cities.,"['fact', 'social', 'figure of speech', 'positive', 'reasoning', 'abstract']",anthropic/claude-opus-5.5
"A currency's value rests on trust, so political chaos sinks it.",1,Exchange rate movements are measurable.,3,0,Currency and trust are socially constructed.,4,0,"The phrases ""rests on"" and ""sinks"" are metaphors.",4,1,It describes an empirical relationship.,4,0,It moves from a premise about trust to a conclusion about instability.,4,0,"Currency valuation is a systemic phenomenon, not personally observable.",4,People understand that instability causes currencies to lose value.,"['fact', 'social', 'figure of speech', 'positive', 'reasoning', 'abstract']",anthropic/claude-opus-5.5
"Viral trends burn bright and fade fast, so most fads vanish within a year.",1,"Trend durations can be measured, for example with search data.",3,0,Fads are purely human cultural phenomena.,4,0,"The phrase ""burn bright and fade fast"" is metaphorical.",4,1,It describes a pattern rather than judging fads.,4,0,It generalizes a timeframe from the nature of trends.,3,0,"The lifespan of trends across society is an aggregate pattern. I am somewhat confident, since people also witness fads personally.",2,People know that fads are short-lived.,"['fact', 'social', 'figure of speech', 'positive', 'reasoning', 'abstract']",anthropic/claude-opus-5.5
"Echo chambers amplify views online, so political polarization deepens.",1,"The claim can be tested empirically, although the evidence is debated.",2,0,Politics and media are social phenomena.,4,0,"The words ""echo chambers"" and ""deepens"" are metaphors.",4,1,"It describes a causal claim, not a value.",3,0,It infers polarization from how information is amplified.,4,0,Polarization is a society-level trend measured through surveys.,4,People recognize that insular media environments reinforce division.,"['fact', 'social', 'figure of speech', 'positive', 'reasoning', 'abstract']",anthropic/claude-opus-5.5
Brain drain bleeds poor nations of talent as skilled workers chase higher pay abroad.,1,Emigration data can verify the claim.,4,0,Labor markets and nations are human constructs.,4,0,"The phrases ""brain drain"" and ""bleeds"" are metaphors.",4,1,"It describes a migration trend, not a moral stance.",4,0,It explains a talent loss by linking it to wage incentives.,3,0,International migration patterns are known through statistics.,4,People know that skilled workers emigrate to richer countries.,"['fact', 'social', 'figure of speech', 'positive', 'reasoning', 'abstract']",anthropic/claude-opus-5.5
"Price wars eat into profits, so small shops often get swallowed by giants.",1,Business closure and acquisition data can test the claim.,3,0,Commerce and firms are social institutions.,4,0,"The phrases ""eat into"", ""swallowed"" and ""giants"" are metaphors.",4,1,It describes an empirical business outcome.,4,0,It links shrinking margins to small firms' failure.,4,0,Market consolidation is an industry-wide pattern.,3,People understand that large retailers can outlast smaller rivals on price.,"['fact', 'social', 'figure of speech', 'positive', 'reasoning', 'abstract']",anthropic/claude-opus-5.5
"The climate is a ticking bomb, so coastal cities will drown this century.",0,"The timing and severity are contested forecasts that cannot yet be verified, so it is not an established fact.",3,1,"It concerns climate physics and sea levels, not social constructs.",4,0,"'Ticking bomb' and 'drown' are metaphors, not literal language.",4,1,It predicts an empirical outcome rather than prescribing what anyone should do.,3,0,"It draws a conclusion from a premise using 'so', rather than stating a bare observation.",4,0,Global climate trends cannot be observed through individual experience. It is not an everyday observation.,4,People widely believe rising temperatures will cause serious coastal flooding.,"['opinion', 'physical', 'figure of speech', 'positive', 'reasoning', 'abstract']",anthropic/claude-opus-5.5
"Bacteria are winning the arms race, so superbugs will soon outpace all antibiotics.",0,'Soon' and 'all' make this a speculative forecast rather than a demonstrable fact.,3,1,It concerns biological evolution rather than social rules.,4,0,'Arms race' is a metaphor for evolutionary competition.,4,1,"It describes a predicted natural process, with no value judgment.",3,0,"It infers a future outcome from the current trend, which goes beyond stating knowledge.",4,0,"Population-level resistance trends are not visible to any individual, so this is not everyday experience.",4,People commonly understand that overuse of antibiotics breeds resistant bacteria.,"['opinion', 'physical', 'figure of speech', 'positive', 'reasoning', 'abstract']",anthropic/claude-opus-5.5
"Evolution never sleeps, so viruses will always stay one step ahead of vaccines.",0,'Always ahead' is a contestable generalization rather than a proven fact.,3,1,It concerns biology and is not a social construct.,4,0,'Never sleeps' and 'one step ahead' personify evolution.,4,1,"It is an empirical prediction, not a norm.",3,0,It derives a conclusion from the premise that mutation never stops.,4,0,"Viral evolution is a general regularity inferred from science, not from personal experience.",4,People know that viruses mutate and that vaccines often need updating.,"['opinion', 'physical', 'figure of speech', 'positive', 'reasoning', 'abstract']",anthropic/claude-opus-5.5
"Oceans are Earth's lungs, so dying plankton will leave the planet gasping.",0,"The severity of the outcome is a speculative judgment, not an established fact.",3,1,It concerns ecology and atmospheric chemistry.,4,0,'Lungs' and 'gasping' are metaphors.,4,1,It describes a natural cause and effect rather than a value.,3,0,It links a premise about oxygen production to a consequence.,4,0,"Global oxygen cycles are not observable by an individual, so this is not an everyday claim.",4,People are aware that marine plankton produce much of the world's oxygen.,"['opinion', 'physical', 'figure of speech', 'positive', 'reasoning', 'abstract']",anthropic/claude-opus-5.5
"Bees are agriculture's engine, so their collapse would starve the world.",0,"The global-starvation claim is debatable, so it is not demonstrable fact.",3,1,"It concerns biology and ecology, not social rules.",4,0,"'Engine' is a metaphor, and 'starve the world' is hyperbole.",4,1,"It is an empirical claim about consequences, with no prescription.",3,0,It is a conditional conclusion drawn from the role bees play.,4,0,Global food dependence on bees cannot be seen through individual experience.,4,People know that pollinators are crucial for growing crops.,"['opinion', 'physical', 'figure of speech', 'positive', 'reasoning', 'abstract']",anthropic/claude-opus-5.5
"The universe is an ever-inflating balloon, so galaxies will drift into lonely darkness.",0,The ultimate fate of the universe remains an unsettled forecast.,3,1,"It is about cosmology, which is a natural science.",4,0,'Balloon' and 'lonely darkness' are figurative.,4,1,"It describes a physical prediction, not a norm.",4,0,It infers the universe's fate from its expansion.,4,0,Cosmic expansion is far beyond individual observation.,4,People have heard that the universe is expanding and galaxies are moving apart.,"['opinion', 'physical', 'figure of speech', 'positive', 'reasoning', 'abstract']",anthropic/claude-opus-5.5
"Moore's law is running out of road, so chips will stop getting faster.",0,Whether chips will stop getting faster is a contested prediction.,3,1,"It concerns the physical limits of engineering, though 'Moore's law' is partly an industry trend.",3,0,'Running out of road' is a metaphor.,4,1,"It is an empirical forecast, with no value judgment.",4,0,It concludes a slowdown from physical limits.,4,0,Industry-wide scaling trends are not evident from personal use of devices.,3,People sense that transistors cannot keep shrinking forever.,"['opinion', 'physical', 'figure of speech', 'positive', 'reasoning', 'abstract']",anthropic/claude-opus-5.5
"Forests are the planet's sponge, so clearing them unleashes floods downstream.",0,"How large this effect is remains debated, so it is not a settled fact.",2,1,It concerns hydrology and ecology.,4,0,'Sponge' is a metaphor.,4,1,It describes cause and effect rather than a norm.,4,0,It infers flooding from the loss of water absorption.,4,0,Watershed-level effects cannot be seen from one person's experience.,3,People understand that trees absorb and slow down rainwater.,"['opinion', 'physical', 'figure of speech', 'positive', 'reasoning', 'abstract']",anthropic/claude-opus-5.5
"Asteroids are cosmic bullets, so a catastrophic Earth impact is only a matter of time.",0,The inevitability and timing are speculative rather than proven.,3,1,It concerns astronomy and physics.,4,0,'Cosmic bullets' is a metaphor.,4,1,"It is an empirical prediction, not a value.",4,0,It concludes inevitability from the premise of repeated past impacts.,4,0,"Impact probabilities span geological time, well beyond individual experience.",4,"People know that large impacts have happened before, as with the dinosaurs.","['opinion', 'physical', 'figure of speech', 'positive', 'reasoning', 'abstract']",anthropic/claude-opus-5.5
