source_id,source_row,statement,design_point,gen_model,judge_model,fact_classification,fact_confidence,fact_explanation,physical_classification,physical_confidence,physical_explanation,literal language_classification,literal language_confidence,literal language_explanation,positive_classification,positive_confidence,positive_explanation,knowledge_classification,knowledge_confidence,knowledge_explanation,everyday_classification,everyday_confidence,everyday_explanation,commonsense,commonsense_explanation
134fa46ce35f24ec2677a0890d0bc716770fef3fe815d4ce5d93f9566e097f23:1,3,"Since antibiotics do not kill viruses, doctors should not prescribe them for colds.","['fact', 'physical', 'literal language', 'normative', 'reasoning', 'abstract']",anthropic/claude-fable-5.1,qwen/qwen3.8-max-0902,opinion,4,"The statement uses 'should,' expressing a prescriptive judgment about what doctors ought to do, which cannot be objectively verified as true or false independent of values and professional norms.",social,4,"The statement concerns medical prescribing practices and professional norms about doctor behavior, which are socially constructed rules governing human experience rather than purely physical or biological facts.",literal language,4,"The statement is expressed in plain, direct language without metaphor, hyperbole, or any figurative expression.",normative,4,"The use of 'should' makes this a normative claim about what doctors ought to do, reflecting a judgment about proper medical practice rather than describing an empirical regularity.",reasoning,4,The statement presents a conclusion ('doctors should not prescribe them for colds') derived by combining the factual knowledge that antibiotics do not kill viruses with a logical inference about appropriate prescribing.,everyday,4,Getting colds and visiting doctors for treatment are common experiences that most people encounter in ordinary life.,1,"It is widely known and commonly shared understanding that antibiotics are ineffective against viral infections like colds, making it a standard piece of common-sense health knowledge."
8d391623aade6713850c3445df16cb7f9c3a29d7b0eb673c98874997b3475004:1,1,"Because vaccines prevent deadly diseases, whole populations should be vaccinated.","['fact', 'physical', 'literal language', 'normative', 'reasoning', 'abstract']",anthropic/claude-fable-5.1,qwen/qwen3.8-max-0902,opinion,4,"The statement prescribes what 'should' be done with whole populations, which is a value judgment rather than something that can be objectively demonstrated true or false.",social,4,"Although vaccines have biological effects, the statement is fundamentally about policy decisions and collective human obligations, which are socially constructed.",literal language,4,"The words are used in their ordinary, direct sense without metaphor, hyperbole, or other figurative devices.",normative,4,The use of 'should' makes this a prescriptive judgment about what ought to be done rather than a description of an empirical regularity.,reasoning,4,The statement combines the premise that vaccines prevent deadly diseases with a logical step to conclude that whole populations should be vaccinated.,everyday,3,"Vaccination is a routine public-health activity that most people encounter directly, though the population-level policy framing adds some abstraction.",1,"The link between vaccines preventing deadly diseases and the desirability of widespread vaccination is a widely shared, intuitive public-health belief."
99ba973aa129e040e9579e972828b9038922c3f41aa63e2c8613c2b41ce2f2bd:1,2,"Since carbon emissions warm the planet, humanity should burn fewer fossil fuels.","['fact', 'physical', 'literal language', 'normative', 'reasoning', 'abstract']",anthropic/claude-fable-5.1,qwen/qwen3.8-max-0902,opinion,4,"The statement contains a normative 'should' recommendation, which reflects a value judgment about what humanity ought to do and cannot be objectively demonstrated as true or false.",social,3,"Although it references the physical fact of carbon emissions warming the planet, the core claim is a prescription for human behavior and policy, which is intrinsically of human/social origin.",literal language,4,"The sentence uses plain, direct language without metaphor, hyperbole, or other figurative devices.",normative,4,"The word 'should' signals a value judgment or prescription about what ought to be done, making it normative rather than a purely descriptive claim.",reasoning,4,The statement presents a conclusion ('humanity should burn fewer fossil fuels') derived by combining the knowledge that carbon emissions warm the planet with a logical inference about the appropriate response.,abstract,3,"The relationship between carbon emissions and planetary warming, and the policy-level conclusion about humanity's fuel use, are large-scale conclusions not directly observable through individual everyday experience.",1,"The statement reflects a widely shared and intuitively accessible idea that reducing the cause of a harmful effect is a sensible response, which most people would recognize as common sense."
36e54578563e1570d40e4a53c03e8bf5883d00e68b08bb47bde4aafd397f2759:1,4,"Because radiation damages living cells, nuclear waste must be stored far from people.","['fact', 'physical', 'literal language', 'normative', 'reasoning', 'abstract']",anthropic/claude-fable-5.1,qwen/qwen3.8-max-0902,fact,4,"Both parts are empirically demonstrable: radiation's biological harm is measurable, and storage-location requirements are technical safety conclusions, not subjective preferences.",physical,4,"The statement concerns radiation effects on cells and engineered storage of nuclear waste, grounded in biology and physics rather than socially constructed norms.",literal language,4,"The sentence uses plain, direct wording without metaphor, hyperbole, or aphorism.",positive,3,"Although 'must' can sound prescriptive, it functions as a technical necessity derived from physical harm rather than a moral or value judgment; slight uncertainty remains due to the modal verb.",reasoning,4,"The statement explicitly links a premise (radiation damages living cells) to a conclusion (waste must be stored far from people) using 'because,' presenting a reasoned inference.",abstract,3,"Nuclear waste storage and cellular radiation damage are specialized topics that ordinary people do not directly observe in daily life, though public awareness of nuclear risk is common enough to introduce mild uncertainty.",1,"The statement reflects widely shared, intuitive reasoning that hazardous materials should be kept away from people, a principle most people recognize without specialized training."
033fe4949421b3636581a72384feb02abd62b5523a708b0cd7d087a619e21115:1,5,"Since lead harms brain development, it should not be used in drinking-water pipes.","['fact', 'physical', 'literal language', 'normative', 'reasoning', 'abstract']",anthropic/claude-fable-5.1,qwen/qwen3.8-max-0902,opinion,4,"The statement contains a normative claim ('should not be used') expressing what the speaker believes ought to be done, which is inherently subjective and cannot be objectively verified as true or false.",social,3,"While lead's harm to brain development is a physical/biological fact, the overall statement is a prescriptive judgment about policy and human decisions regarding infrastructure, making it intrinsically social in nature.",literal language,4,"The statement uses plain, direct language with no metaphors, hyperbole, or figurative expressions; it means exactly what it says.",normative,4,"The word 'should' explicitly signals a normative judgment about what ought to be done, expressing a value-based prescription rather than describing an empirical regularity.",reasoning,4,The statement presents a conclusion ('it should not be used in drinking-water pipes') derived by combining the factual knowledge that lead harms brain development with the logical principle that harmful substances should be avoided in water supply.,everyday,3,"Drinking water and its safety are part of ordinary daily experience, and concerns about pipe materials are relatable to most people, though the specific policy reasoning is somewhat beyond individual observation.",1,"The reasoning that a substance known to harm brain development should be kept out of drinking water is widely shared, intuitive knowledge that most people would readily accept without specialized training."
850f13868e4f659a38f2990cccda96bd47d6fbb13f3d767140e45985f309ab43:1,6,"Because overfishing collapses fish populations, catch limits should be enforced.","['fact', 'physical', 'literal language', 'normative', 'reasoning', 'abstract']",anthropic/claude-fable-5.1,qwen/qwen3.8-max-0902,opinion,4,"The statement contains a policy prescription ('catch limits should be enforced'), which expresses a value judgment about what ought to be done rather than a verifiable fact. While the premise about overfishing is factual, the overall statement advocates a position.",social,3,"While overfishing involves biological/ecological processes, the statement's main thrust is about enforcement of catch limits, which is a human-constructed policy and regulatory framework. The combination of ecological fact with policy prescription makes it primarily social.",literal language,4,"The statement uses plain, direct language without metaphors, hyperbole, or other figurative devices. 'Collapses fish populations' is a straightforward description of population decline.",normative,4,"The statement uses 'should,' indicating a value judgment about what policy ought to be implemented. It prescribes an action rather than merely describing an empirical regularity.",reasoning,4,"The statement presents a conclusion (catch limits should be enforced) derived from a premise (overfishing collapses fish populations), using the logical connector 'because.' It combines knowledge with reasoning to arrive at a policy recommendation.",abstract,3,"Overfishing, population collapse, and regulatory enforcement are large-scale ecological and policy phenomena that cannot be directly observed or arrived at through individual everyday experience. They require scientific study and policy-level thinking.",1,"The basic reasoning that overexploiting a resource leads to its depletion and that limits can prevent this is widely understood common sense, even if the specific ecological mechanisms require scientific study."
2ec0c849d96477388f1cd408a41439cc5ae43b1ebf7bc5ac7f20ec44e08cfdc7:1,7,"Since steel bridges fatigue over decades, they must be inspected regularly.","['fact', 'physical', 'literal language', 'normative', 'reasoning', 'abstract']",anthropic/claude-fable-5.1,qwen/qwen3.8-max-0902,fact,4,Steel bridges fatiguing over decades and needing regular inspection are verifiable engineering facts that can be demonstrated through material science and engineering standards.,physical,4,"The statement concerns material fatigue of steel and structural engineering principles, which are objective physical phenomena governed by natural laws.",literal language,4,"The statement uses plain, straightforward language without metaphors, hyperbole, or other figurative devices; 'fatigue' here is a technical term in materials science.",normative,3,"While the fatigue part is positive (empirical), the 'must be inspected regularly' portion expresses a normative judgment about what ought to be done, making the overall statement normative.",reasoning,4,"The statement presents a conclusion ('must be inspected regularly') derived from a premise ('steel bridges fatigue over decades'), combining knowledge with logical inference indicated by 'Since...they must...'",abstract,3,"While people encounter bridges in daily life, the concepts of material fatigue over decades and the engineering rationale for inspection schedules are not something one arrives at through ordinary individual experience.",1,"It is widely understood common sense that structures degrade over time and require regular maintenance and inspection to ensure safety, even if the specific engineering details are specialized."
f3a9c263bfe4400cbca81063679f99be1912b6cf507b214ebbaea17fa430a596:1,9,"Since smoking causes lung cancer, people should not smoke.","['fact', 'physical', 'literal language', 'normative', 'reasoning', 'abstract']",anthropic/claude-fable-5.1,qwen/qwen3.8-max-0902,opinion,4,"The first clause (""smoking causes lung cancer"") is a factual claim, but the statement as a whole is a normative prescription (""people should not smoke""), which is subjective and cannot be demonstrated objectively.",social,3,"Although the causal link between smoking and cancer is biological, the statement's core claim is a value-based recommendation about human behavior, which is intrinsically of human/social origin.",literal language,4,"The statement uses plain, direct language with no metaphor, hyperbole, or other figurative device.",normative,4,"The word ""should"" makes the statement a normative judgment about what people ought to do, rather than a purely descriptive or empirical observation.",reasoning,4,The statement combines a factual premise (smoking causes lung cancer) with a logical inference to arrive at the conclusion that people should not smoke.,everyday,4,"Smoking and its health consequences are widely encountered in ordinary daily life through public health messages, personal experience, and common discourse.",1,"The link between smoking and lung cancer and the resulting advice to avoid smoking are widely known, frequently repeated, and broadly accepted pieces of everyday knowledge, making this a clear example of human common sense."
564f077f01ef9bb20dea1fe9167da6c6454d1fdd5ee16ca91e79c1e60d2fe192:1,8,"Because germs spread by hands, surgeons should wash before operating.","['fact', 'physical', 'literal language', 'normative', 'reasoning', 'abstract']",anthropic/claude-fable-5.1,qwen/qwen3.8-max-0902,fact,4,"The claim that germs spread by hands is empirically verifiable through microbiology, and the hygiene recommendation follows from established medical evidence rather than subjective preference.",physical,4,The statement concerns biological transmission of pathogens and medical hygiene practices grounded in natural science rather than socially constructed conventions.,literal language,4,"The sentence uses plain, direct language without metaphor, hyperbole, or other figurative devices.",normative,4,"Although grounded in biological fact, the statement contains the prescriptive word ""should,"" making it a recommendation about what surgeons ought to do rather than a purely descriptive claim.",reasoning,4,"The statement explicitly combines the premise that germs spread by hands with the logical conclusion that surgeons should wash before operating, using ""because"" to signal inferential structure.",everyday,3,"Handwashing and basic hygiene are familiar everyday experiences, though the specific surgical context is less common for most people; still, the underlying logic is widely encountered in daily life.",1,"The statement reflects widely shared, practical knowledge that dirty hands transmit germs and that cleaning them before a medical procedure is a sensible precaution, which most people recognize without specialized training."
2611a7750d07897f620f8aff0f3ca030b7ad8f8862ee155b3a9043e2f32230df:1,11,"Since asteroid impacts have caused mass extinctions, we should track near-Earth objects.","['fact', 'physical', 'literal language', 'normative', 'reasoning', 'abstract']",anthropic/claude-fable-5.1,qwen/qwen3.8-max-0902,opinion,4,"The statement contains a 'should' claim advocating for tracking near-Earth objects, which is a value judgment that cannot be objectively proven true or false. While the premise about asteroid impacts causing mass extinctions is factual, the overall statement expresses a normative recommendation.",social,3,"Although asteroid impacts and mass extinctions are physical phenomena, the core claim ('we should track') is about human policy decisions and social action. The statement is fundamentally about what humans ought to do in response to physical threats.",literal language,4,"The statement uses plain, direct language without metaphors, hyperbole, or other figurative devices. It straightforwardly connects a cause to a recommended action.",normative,4,The use of 'should' makes this a normative statement expressing a value judgment about what ought to be done. It prescribes action rather than merely describing an empirical regularity.,reasoning,4,The statement presents a conclusion ('we should track near-Earth objects') derived from a premise ('asteroid impacts have caused mass extinctions'). It combines factual knowledge with logical inference to arrive at a recommendation.,abstract,4,"Asteroid impacts, mass extinctions, and near-Earth object tracking programs are not things encountered in ordinary daily experience. These are large-scale scientific and policy matters beyond individual observation.",1,"The reasoning that dangerous threats warrant monitoring and preparedness is a common-sense principle that people readily apply in many contexts, making this a straightforward example of human common sense reasoning about risk management."
