source_id,source_row,statement,design_point,gen_model,judge_model,fact_classification,fact_confidence,fact_explanation,physical_classification,physical_confidence,physical_explanation,literal language_classification,literal language_confidence,literal language_explanation,positive_classification,positive_confidence,positive_explanation,knowledge_classification,knowledge_confidence,knowledge_explanation,everyday_classification,everyday_confidence,everyday_explanation,commonsense,commonsense_explanation
58ac672523a04fe8133aeed9adb5e7af9fbaa6d8a5ae468f68988a69eb1d192e:1,12,"Because seatbelts reduce crash deaths, wearing them should be required.","['fact', 'physical', 'literal language', 'normative', 'reasoning', 'abstract']",anthropic/claude-fable-5.1,z-ai/glm-5.3-flash:batch,opinion,4,"While the premise that seatbelts reduce crash deaths is a demonstrable fact, the conclusion that wearing them 'should be required' is a subjective value judgment that cannot be proven objectively correct or incorrect. Therefore, the statement as a whole is an opinion.",social,3,"Although the premise draws on empirical evidence about crash safety, the core claim is that wearing seatbelts should be mandated, which is a socially constructed rule about human behavior and governance. The statement's conclusion lives in the social domain.",literal language,4,"The statement uses plain, ordinary language with no metaphor, hyperbole, or other figurative device. It means exactly what it says.",normative,4,"The phrase 'should be required' expresses a judgment about what ought to be done, making the central claim normative. Only the supporting premise ('seatbelts reduce crash deaths') is positive.",reasoning,4,The statement explicitly combines a piece of knowledge (seatbelts reduce crash deaths) with logic to arrive at a conclusion (they should be required). The word 'because' signals this inferential structure.,everyday,4,"Seatbelts and car travel are things people routinely encounter in ordinary life, and the reasoning is one most individuals could arrive at through personal experience. It does not involve abstract regularities beyond everyday observation.",1,"This is an example of human common sense: most people intuitively understand that safety measures proven to save lives, like seatbelts, should be used or mandated, and the statement reflects that widely shared, everyday reasoning."
8ae92269d2d821f74c48db12e7ca069f1b2ba2c6bc70dffaa8a2b3f455b35205:1,26,"Because wealth alone cannot buy happiness, people should value relationships over money.","['opinion', 'social', 'literal language', 'normative', 'reasoning', 'abstract']",anthropic/claude-fable-5.1,z-ai/glm-5.3-flash:batch,opinion,4,"The prescriptive claim that people 'should' value relationships over money is a value judgment that cannot be objectively demonstrated or disproven. While happiness research exists, the overall statement is inherently subjective advice.",social,4,"The statement concerns wealth, happiness, relationships, and personal values, all of which are human-centered constructs rather than measurable physical or natural phenomena. Nothing here is grounded in physics, biology, or mathematics.",figure of speech,3,"The phrase 'cannot buy happiness' echoes the well-known aphorism 'money can't buy happiness,' using 'buy' metaphorically since happiness is not literally a commodity for purchase. The wording is proverbial rather than plain descriptive language.",normative,4,"The statement prescribes what people ought to do ('should value relationships over money'), which is a value judgment rather than a description of an empirical regularity. It expresses a social norm or moral recommendation.",reasoning,4,"The statement explicitly uses 'because' to derive a conclusion (prioritize relationships) from a premise (wealth alone cannot buy happiness), combining a belief with logic to reach a recommendation. This argumentative structure makes it reasoning.",everyday,3,"Money, happiness, and personal relationships are ordinary concerns that virtually everyone encounters and reflects on in daily life. The advice could plausibly be arrived at through common personal experience.",1,"This statement is a classic piece of folk wisdom, closely related to the proverb 'money can't buy happiness,' reflecting a widely shared intuitive understanding that relationships matter more than wealth for a fulfilling life."
6db2a4f4b18c9ccb402aff37a30a93be85cb847f020c018c6a2a6dfb7118eb45:1,38,"Because reputation follows people, individuals should behave ethically even when unobserved.","['opinion', 'social', 'literal language', 'normative', 'reasoning', 'abstract']",anthropic/claude-fable-5.1,z-ai/glm-5.3-flash:batch,opinion,4,"The core claim is that individuals 'should behave ethically even when unobserved,' which is a value judgment that cannot be demonstrated to be objectively correct or incorrect. Even the premise that 'reputation follows people' is a loose generalization rather than a demonstrable fact, reinforcing that the overall statement is subjective.",social,4,"Reputation and ethical behavior are constructs of human beliefs, perceptions, and social norms, not features measurable by physics, biology, or other natural laws. The statement is entirely rooted in socially created concepts.",figure of speech,3,"The phrase 'reputation follows people' is an idiomatic, aphorism-like expression; a reputation is an abstract perception, not an entity that literally follows someone. The figurative framing gives the statement a proverb-like quality.",normative,4,The word 'should' directly expresses a value judgment and prescription about how people ought to act. This makes the statement normative rather than a description of an empirical regularity.,reasoning,4,The statement explicitly draws a conclusion ('individuals should behave ethically even when unobserved') from a premise ('reputation follows people') using the connective 'because.' It combines a belief about the world with logic to arrive at a conclusion.,everyday,3,"Acting ethically when no one is watching and worrying about one's reputation are situations people commonly encounter in ordinary life. While the statement is phrased as a generalization, its content is grounded in familiar everyday experiences.",1,"This statement reflects a widely shared piece of human common sense: one's reputation travels with them, and a person of integrity does the right thing even without observers. It encodes a conventional moral understanding that most people would recognize and endorse."
8dc43878248d2268be14d775c0ab08684caaa102da3c4dafdc13f84d472da7b1:1,53,"The squeaky wheel gets the grease, so citizens should voice their grievances.","['fact', 'social', 'figure of speech', 'normative', 'reasoning', 'abstract']",anthropic/claude-fable-5.1,z-ai/glm-5.3-flash:batch,opinion,4,"The statement culminates in a prescriptive recommendation ('citizens should voice their grievances'), which is a value judgment that cannot be demonstrated to be objectively correct or incorrect. The aphoristic premise is a folk belief, not a demonstrable fact.",social,4,"The statement concerns human behavior, grievances, and social dynamics like drawing attention and civic participation, all of which are socially constructed phenomena. It references no physical, biological, or natural-law features.",figure of speech,4,'The squeaky wheel gets the grease' is a well-known proverb used metaphorically to mean that those who complain loudest receive attention. The wheel and grease are not the actual subject of the claim about citizens.,normative,4,"The core claim is the recommendation that citizens 'should' voice their grievances, which is a judgment about how people ought to act. While the proverb itself gestures at an empirical regularity, the statement as a whole prescribes behavior.",reasoning,3,"The word 'so' explicitly signals an inference: a conclusion about citizen behavior is drawn from the proverbial premise. This combines folk knowledge with a logical connection, making it reasoning rather than a bare observation.",everyday,3,"The underlying situation—complaining or speaking up to get one's needs addressed—is something people routinely encounter in daily life, from household matters to civic affairs. It is not a regularity that requires abstract or scientific derivation beyond ordinary experience.",1,"This statement reflects widely shared folk wisdom: the proverb 'the squeaky wheel gets the grease' encodes common-sense knowledge that problems voiced openly tend to get addressed, and applying it to everyday civic behavior is a typical common-sense inference."
def3ff809f0c70d6503f08993830dbd9af720e5842cd6ee97f4e26e0f55079bc:1,74,"Since degrees require completing coursework, a student who drops out does not graduate.","['fact', 'social', 'literal language', 'normative', 'reasoning', 'abstract']",anthropic/claude-fable-5.1,z-ai/glm-5.3-flash:batch,fact,4,"The statement can be verified against institutional rules and records: one can objectively check whether a dropout completed coursework and graduated, so it is not inherently subjective.",social,4,"Degrees, coursework, and graduation are human institutional constructs rather than features of the natural world that can be measured or derived by physics or biology.",literal language,4,"The statement uses plain, direct language with no metaphor, aphorism, or hyperbole; it means exactly what it says.",positive,3,"It describes how things are (an institutional rule and its consequence) rather than expressing a judgment, value, or preference, though the underlying rule is a social convention, which adds slight tension.",reasoning,4,"The statement explicitly derives a conclusion (the dropout does not graduate) from a premise (degrees require completing coursework) using logic, marked by 'since'.",everyday,4,"Attending school, completing coursework, and dropping out or graduating are ordinary situations people commonly encounter or observe in everyday life.",1,"This is a basic common-sense inference: nearly anyone understands that dropping out means failing to meet graduation requirements, so the conclusion is trivially obvious from everyday knowledge."
f7585f1234f939e005bd25cfdf26bd484d70577d12abcca9c1b389587ec71f3e:1,54,"Too many cooks spoil the broth, so decision-making committees should stay small.","['fact', 'social', 'figure of speech', 'normative', 'reasoning', 'abstract']",anthropic/claude-fable-5.1,z-ai/glm-5.3-flash:batch,opinion,3,"The conclusion that committees 'should' stay small is a prescriptive recommendation that cannot be objectively demonstrated as correct or incorrect, even if group-size effects can be studied. The proverb supports it, but the overall claim remains a subjective judgment.",social,4,"The statement concerns committees, decision-making, and human coordination, all of which are socially constructed phenomena rather than measurable physical or natural features. The cooking imagery is only a metaphorical vehicle.",figure of speech,4,"'Too many cooks spoil the broth' is a well-known proverb (aphorism) used metaphorically to describe inefficiency in groups, not an actual claim about kitchens. The second clause draws on this figurative meaning.",normative,4,"The statement recommends how committees ought to be structured ('should stay small'), which is a judgment or value claim about desirable practice. It is not merely describing an empirical regularity.",reasoning,4,The word 'so' signals an inference: a piece of conventional wisdom (the proverb) is combined with an implied analogy to arrive at a conclusion about committee size. The statement presents a conclusion derived from knowledge plus logic.,everyday,3,"Both cooking and group decision-making are situations ordinary people encounter or could encounter in daily life, and the proverb itself arises from common domestic experience. The generalization is drawn from familiar, observable situations rather than purely abstract theory.",1,"This statement is a classic example of human common sense: it applies a widely shared proverb about the coordination problems of too many participants to a practical everyday matter, namely keeping decision-making groups small."
157cc5b54f9d298aaeb145a474afc134f832b5a0d1d9214ebac6cabb998d44c2:1,34,"Because fairness matters, workers doing equal work deserve equal pay.","['opinion', 'social', 'literal language', 'normative', 'reasoning', 'abstract']",anthropic/claude-fable-5.1,z-ai/glm-5.3-flash:batch,opinion,4,"Whether fairness 'matters' and whether workers 'deserve' equal pay are value judgments that cannot be demonstrated objectively true or false. Different people and cultures can reasonably disagree, so the claim is inherently subjective.",social,4,"Fairness, wages, and deservingness are human-created concepts rooted in social norms and perceptions, not measurable physical or natural phenomena. The statement operates entirely within socially constructed ideas about work and justice.",literal language,3,"The statement uses plain, direct language with no metaphor, hyperbole, or other figurative devices. Although it resembles a moral maxim, its words mean exactly what they say.",normative,4,The statement prescribes how workers should be paid based on a value judgment about fairness. It expresses what ought to be rather than an empirical regularity about what is.,reasoning,4,"The word 'because' signals an inference: a premise about the importance of fairness is combined with logic to reach the conclusion that equal work merits equal pay. It is a conclusion argued for, not a standalone observation.",everyday,3,"Fair pay for comparable work is a situation most people encounter or could encounter in ordinary working life, and the intuition is graspable from individual experience. It is not an abstract regularity beyond everyday observation.",1,"Equal pay for equal work is a widely shared intuitive moral principle that people generally endorse without specialized knowledge, making it a clear example of human common sense."
e6e22df872261d7fc90d38e2e4bf3fe27678eba3fd109f14e139a456274306bc:1,56,"Familiarity breeds contempt, so leaders should keep some professional distance.","['fact', 'social', 'figure of speech', 'normative', 'reasoning', 'abstract']",anthropic/claude-fable-5.1,z-ai/glm-5.3-flash:batch,opinion,3,"The claim that familiarity breeds contempt is a debatable generalization about human psychology, and the advice that leaders 'should' keep distance is a subjective recommendation; neither can be conclusively demonstrated to be objectively correct. While parts could be studied empirically, the statement as a whole is inherently a matter of perspective.",social,4,"The statement concerns human relationships, perceptions, and social dynamics like respect and leadership, all of which are socially constructed rather than physical or measurable by natural laws.",figure of speech,4,"'Familiarity breeds contempt' is a well-known aphorism/proverb, and 'breeds' is used metaphorically rather than literally. The statement relies on this figurative saying to make its point.",normative,4,"The word 'should' explicitly prescribes how leaders ought to behave, making this a value judgment and recommendation rather than a description of an empirical regularity.",reasoning,4,The statement uses the connective 'so' to draw a conclusion (leaders should keep distance) by combining the premise that familiarity breeds contempt with practical logic. It explicitly presents an inference rather than a bare observation.,everyday,3,"The statement is grounded in ordinary experiences people encounter, such as getting to know others well and navigating workplace relationships with supervisors or colleagues. Though it generalizes, the underlying dynamic is observable in daily life.",1,This statement is a piece of folk wisdom expressing a widely shared intuitive understanding of social dynamics—that closeness can erode respect and that some distance helps preserve authority—which is a classic example of human common sense about relationships.
ef305b51aa75216319715af280ed5faa62bd3ea73b68b2eec268be0384721b1e:1,48,"United we stand, divided we fall, so nations should avoid bitter factionalism.","['fact', 'social', 'figure of speech', 'normative', 'reasoning', 'abstract']",anthropic/claude-fable-5.1,z-ai/glm-5.3-flash:batch,opinion,4,The statement culminates in a prescription ('nations should avoid bitter factionalism') that cannot be objectively demonstrated to be correct or incorrect. Even the aphoristic premise is a generalization about society rather than a verifiable fact.,social,4,"The statement concerns nations, unity, and factionalism, which are socially constructed political concepts about human organization. Nothing here refers to measurable physical or natural phenomena.",figure of speech,4,"'United we stand, divided we fall' is a well-known aphorism using parallel, figurative phrasing rather than plain literal description. It condenses an idea into a proverbial formula.",normative,4,"The core claim is a value judgment about what nations 'should' do, which is prescriptive rather than a description of an empirical regularity. It expresses a social or political ideal.",reasoning,3,The word 'so' signals an inference: a conclusion about avoiding factionalism is drawn from the general premise about unity and division. It combines a piece of folk wisdom with logic to reach a prescription.,abstract,3,"Although the underlying idea of group cohesion is experienced in daily life, the statement is framed at the level of nations and factionalism, macro-level abstractions individuals cannot fully observe firsthand. The conclusion is a generalized political principle rather than a personal everyday observation.",1,"This is a classic proverb expressing widely shared folk wisdom that cooperation and unity lead to success while division leads to failure, and people generally grasp and endorse this idea without needing specialized knowledge."
8a5b1c7aa1e67bacdb7e607a4e8cfee7cc53f4365ef8bc85a1d8a771d367ed4d:1,32,"Because everyone makes mistakes, people should forgive others' minor faults.","['opinion', 'social', 'literal language', 'normative', 'reasoning', 'abstract']",anthropic/claude-fable-5.1,z-ai/glm-5.3-flash:batch,opinion,4,The claim 'people should forgive others' minor faults' is a prescriptive value judgment that cannot be demonstrated to be objectively true or false. Even the premise 'everyone makes mistakes' is a broad generalization supporting a subjective stance.,social,4,"Mistakes, faults, and forgiveness are human-interaction concepts rooted in social norms and perceptions, not measurable features of the natural world. Nothing here can be measured empirically or derived from natural laws.",literal language,3,"The statement uses plain, direct language without metaphor, hyperbole, or wordplay. It has a proverb-like tone, but it literally asserts what it says, so I am somewhat confident it is not a figure of speech.",normative,4,"The word 'should' makes the core claim a judgment about how people ought to behave, which is a value or social norm rather than an empirical regularity.",reasoning,4,"The statement explicitly links a premise ('everyone makes mistakes') to a conclusion ('people should forgive minor faults') with 'because', combining a general observation with logic to reach a conclusion.",everyday,3,"People routinely encounter situations where others make minor mistakes and forgiveness is a relevant response in ordinary life. Although the statement is phrased as a general principle, it is grounded in common everyday experiences.",1,"This statement expresses a widely shared folk principle about human relationships—that since imperfection is universal, people ought to overlook minor faults—which is a typical piece of everyday moral common sense."
