source_id,source_row,statement,design_point,gen_model,judge_model,fact_classification,fact_confidence,fact_explanation,physical_classification,physical_confidence,physical_explanation,literal language_classification,literal language_confidence,literal language_explanation,positive_classification,positive_confidence,positive_explanation,knowledge_classification,knowledge_confidence,knowledge_explanation,everyday_classification,everyday_confidence,everyday_explanation,commonsense,commonsense_explanation
f6df30d77577f9ceb9ae454763f84e8c9c9c925309906747d9606c57ee598b53:1,4,The early bird catches the worm.,"['opinion', 'social', 'figure of speech', 'positive', 'reasoning', 'abstract']",deepseek/deepseek-v4.1-flash,meta/muse-spark-1.3,opinion,3,"As general life advice that promptness is rewarded, it cannot be proven objectively true or false independent of values and context. I am somewhat confident because a literal ornithological reading could be testable, but the proverbial meaning dominates.",social,3,"The intended meaning concerns human values around punctuality and competition, not a biological law. I am somewhat confident because the literal words describe animals, but usage is socially constructed.",figure of speech,4,It is a well-known aphorism using birds and worms metaphorically to praise early action. I am very confident in this classification.,normative,3,It prescribes that one should act early rather than neutrally describing the world. I am somewhat confident because the wording sounds descriptive but functions as a value judgment.,knowledge,3,It states a piece of folk wisdom as an observation without showing explicit logical steps. I am somewhat confident because it implies reasoning but does not present it.,everyday,4,People commonly encounter situations where arriving early yields benefits in daily life. I am very confident this reflects ordinary experience.,1,It is a widely shared proverb expressing common practical wisdom about the benefits of being early.
f066e2e4cdb6365f93c89f3389920bd9ec91298084e0ab95c2e6317ba5cbe37a:1,2,Birds of a feather flock together.,"['opinion', 'social', 'figure of speech', 'positive', 'reasoning', 'abstract']",deepseek/deepseek-v4.1-flash,meta/muse-spark-1.3,fact,3,"It states an observable regularity about similar birds/people grouping that can be empirically tested, so it is a fact claim. Confidence is somewhat confident because its proverbial vagueness makes precise testing difficult.",social,3,"While literally about bird biology, its intended meaning concerns human tendency to associate with similar others, which is of human origin. Confidence is moderate due to this literal-metaphorical duality.",figure of speech,4,It is a well-known aphorism using birds as a metaphor for human social grouping. I am very confident because it does not mean only literal feathers.,positive,4,"It describes an empirical regularity of grouping rather than prescribing how people should behave. I am very confident it is descriptive, not normative.",knowledge,3,It reports an observation about the world without showing explicit logical steps to a conclusion. I am somewhat confident because it compresses prior reasoning into folk wisdom.,everyday,4,People can directly observe birds flocking and similar friends clustering in daily life. I am very confident no specialized abstraction is needed.,1,It is classic folk wisdom expressing the widely shared everyday observation of homophily.
4e694d93fc32dcc5983f246730202894a50023b7975bb80a120acd6ebdb2009d:1,1,A rolling stone gathers no moss.,"['opinion', 'social', 'figure of speech', 'positive', 'reasoning', 'abstract']",deepseek/deepseek-v4.1-flash,meta/muse-spark-1.3,fact,4,Moss growth on stationary versus moving stones can be empirically observed and tested independently of opinion. I am very confident because the literal claim is falsifiable even if used metaphorically.,physical,3,"The literal subject — stones, motion, and moss growth — concerns biology and physics that can be measured empirically. I am only somewhat confident because the intended proverbial meaning concerns human social life.",figure of speech,4,This is a classic proverb/aphorsim that uses stones and moss metaphorically for people and attachments. I am very confident because it matches the definition's example of an aphorism.,positive,3,"It describes an empirical regularity that moving objects do not accumulate growth, rather than stating what ought to be. I am somewhat confident because proverbial uses can carry an implied normative valuation.",knowledge,3,It states a direct observation about the world rather than showing a logical derivation from premises. I am somewhat confident because the observation is packaged as a general conclusion.,everyday,3,"People could encounter rolling stones and mossy stones in ordinary outdoor experience. I am somewhat confident because many modern people may not regularly observe this, but it remains observable.",1,It is a widely shared proverb expressing the everyday intuition that constant motion prevents accumulation.
cdd8e0ed5a9f76ee2550d1ff4c97f8aabfd9a1f3549156609a8b5de8944e080f:1,5,A stitch in time saves nine.,"['opinion', 'social', 'figure of speech', 'positive', 'reasoning', 'abstract']",deepseek/deepseek-v4.1-flash,meta/muse-spark-1.3,opinion,3,"The claim cannot be objectively demonstrated as true because saving exactly nine is hyperbolic, not measurable. I am somewhat confident because early repair generally helps, but the statement is subjective heuristic wisdom.",social,3,"It concerns human beliefs about prudence and timely action rather than an objective natural law. I am somewhat confident because the sewing origin is physical, but its meaning is about human behavior.",figure of speech,4,It is a well-known proverb using metaphor and hyperbole rather than meaning literally one versus nine stitches. I am very confident given its recognized idiomatic form.,normative,3,"It primarily functions as advice expressing the value of promptness rather than stating an empirical law. I am somewhat confident because it also describes a regularity, but its use is prescriptive.",knowledge,3,It presents a distilled observation about the world without explicit premises and logical combination. I am somewhat confident because it implies inference but is stated as standalone wisdom.,everyday,4,It refers to common experiences like mending clothes or fixing small problems before they grow. I am very confident because people could encounter such situations in ordinary life.,1,It expresses widely shared practical wisdom that addressing small problems early prevents larger trouble.
ed9dd7280b2cdc1f63db7b3825328960a15edbcad861c29413f65a78348a79c3:1,3,Too many cooks spoil the broth.,"['opinion', 'social', 'figure of speech', 'positive', 'reasoning', 'abstract']",deepseek/deepseek-v4.1-flash,meta/muse-spark-1.3,opinion,3,"'Spoil' and 'too many' are vague evaluative terms that cannot be objectively measured or falsified. I am somewhat confident because a literal cooking test could be attempted, but the proverb's general claim remains subjective.",social,4,"The statement is about human coordination and interference when collaborating, not about physics or chemistry of broth. I am very confident because its meaning centers on socially constructed teamwork dynamics.",figure of speech,4,It is a well-known proverb that uses cooks and broth metaphorically to mean any overcrowded collaboration. I am very confident because it is canonically listed as an aphorism.,normative,3,"It expresses a value judgment that extra contributors ruin outcomes and implies one should limit participants. I am somewhat confident because it also describes a regularity, but the evaluative advisory function dominates.",knowledge,3,It states an observed folk wisdom about the world without showing logical derivation steps. I am somewhat confident because it condenses prior reasoning but presents only the conclusion as observation.,everyday,4,Cooking together and group projects are common ordinary experiences where people can directly observe coordination problems. I am very confident this requires no specialized or abstract theorizing.,1,It is a widely shared proverb conveying common folk understanding that over-involvement complicates tasks.
36b91d4520da2d94c193cee06662c52311aab48235e99d5c598f965035fe85e4:1,6,The squeaky wheel gets the grease.,"['opinion', 'social', 'figure of speech', 'positive', 'reasoning', 'abstract']",deepseek/deepseek-v4.1-flash,meta/muse-spark-1.3,fact,3,"It asserts an observable pattern that vocal complaints attract attention, which could in principle be tested. I am somewhat confident because as a proverb it is vague and not universally true.",social,4,"Despite mentioning wheels and grease, its intended meaning is about human attention and complaining behavior. I am very confident this is socially constructed rather than a law of physics.",figure of speech,4,It is a well-known idiom using wheels as a metaphor for people who complain. I am very confident because it does not primarily refer to actual carts.,positive,3,It describes what tends to happen rather than prescribing what should happen. I am somewhat confident because it can also be used as advice to complain.,knowledge,3,It states an observation about the world without showing explicit logical steps. I am somewhat confident because it compresses prior inference into a single claim.,everyday,4,"People can directly encounter complaining being rewarded in family, work, or customer service. I am very confident this is grounded in ordinary experience.",1,It is a widely shared proverbial wisdom that most adults recognize from everyday social life.
0c99a6230c9b8374d88693c4eeda9f33fccaa1973f835f2648dc525ba964a7ef:1,7,Actions speak louder than words.,"['opinion', 'social', 'figure of speech', 'positive', 'reasoning', 'abstract']",deepseek/deepseek-v4.1-flash,meta/muse-spark-1.3,opinion,4,The claim that actions matter more than words is a subjective valuation that cannot be objectively proven true or false. I am very confident because 'louder' is metaphorical and not empirically testable.,social,4,"It concerns human perceptions of sincerity, trust, and meaning rather than objective physical properties. I am very confident because it depends entirely on socially constructed interpretation of behavior.",figure of speech,4,Actions do not literally speak or produce sound volume; 'speak louder' is a metaphor and well-known aphorism. I am very confident because the non-literal meaning is obvious.,normative,3,"It expresses a value judgment that deeds should be weighted more than promises, not a testable empirical law. I am somewhat confident because it also describes an observed regularity.",knowledge,3,It states a general observation about human behavior rather than presenting an explicit logical deduction from premises. I am somewhat confident because proverbs can blur observation and inference.,everyday,4,People routinely encounter mismatches between promises and behavior in ordinary daily life. I am very confident because no specialized or abstract theory is needed to understand it.,1,It is a widely shared proverb reflecting common everyday wisdom to judge people by what they do rather than what they say.
bdb6affee4b9f6375e6d9003ee2aa771fce8d745f273255959bf722d0072ab5a:1,8,"Out of sight, out of mind.","['opinion', 'social', 'figure of speech', 'positive', 'reasoning', 'abstract']",deepseek/deepseek-v4.1-flash,meta/muse-spark-1.3,opinion,3,"It states a subjective generalization about forgetting that cannot be strictly demonstrated true or false. I am somewhat confident because memory effects can be studied, but the proverb is too vague to be objective fact.",social,3,"It refers to human perception, memory and attention rather than objective physical laws. I am somewhat confident because memory has biological basis, but the definition places perceptions in social.",figure of speech,4,"It is a classic rhyming proverb and aphorism, not plain literal description. I am very confident because it is widely listed as an idiomatic saying.",positive,3,It describes an observed empirical regularity that people forget absent things rather than prescribing what should happen. I am somewhat confident because it lacks explicit value judgment.,knowledge,3,It presents an observation about the world rather than an explicit logical deduction from premises. I am somewhat confident because it implies inference but shows no reasoning steps.,everyday,4,People can directly experience forgetting distant people or hidden objects in ordinary life. I am very confident because no specialized or abstract theorizing is needed.,1,It is a widely shared proverbial wisdom about everyday forgetting that most people recognize from common experience.
ce364a150c2f30d9295b2f8183bce3a59e510211cdcd61c85a84c0e1935e6cc2:1,9,Two heads are better than one.,"['opinion', 'social', 'figure of speech', 'positive', 'reasoning', 'abstract']",deepseek/deepseek-v4.1-flash,meta/muse-spark-1.3,opinion,3,"'Better' is an evaluative judgment that depends on task and context and cannot be proven objectively true or false. I am somewhat confident because group performance can be tested, but the value term keeps it subjective.",social,4,"It is about human collaboration and shared thinking, not physical or biological laws. I am very confident because its meaning is intrinsically about human interaction.",figure of speech,4,It is a well-known proverb using 'heads' metaphorically to mean people or minds. I am very confident in this literary classification.,normative,3,"It expresses a value judgment that collaboration is preferable and implies people should work together. I am somewhat confident since it also describes a regularity, but the prescriptive 'better' dominates.",knowledge,3,"It states a general observation about the world without showing logical derivation. I am somewhat confident because it may reflect prior reasoning, but no reasoning is presented.",everyday,4,People routinely experience solving problems alone versus with others in daily life. I am very confident this is observable through ordinary experience.,1,It is a widely shared proverb expressing folk wisdom about the benefit of collaboration.
9d9220a68f9c1df1a89e27c8ef54c50556bc5cf3d6c8c2a13023aee8407d225f:1,12,The grass is always greener on the other side.,"['opinion', 'social', 'figure of speech', 'positive', 'reasoning', 'abstract']",deepseek/deepseek-v4.1-flash,meta/muse-spark-1.3,opinion,3,"'Greener' means 'better or more desirable,' which is inherently subjective and cannot be objectively demonstrated. I am somewhat confident because while envy is observable, the value claim itself is not fact-checkable.",social,4,"The idiom is about human perception, envy, and preference rather than botany or optics. I am very confident because its standard meaning is psychological and of human origin.",figure of speech,4,It is a well-known proverb using grass as a metaphor for others' circumstances with hyperbole in 'always.' I am very confident as this is a canonical example of figurative language.,positive,3,It describes an observed empirical regularity in how people perceive others rather than prescribing how they should act. I am somewhat confident because the evaluative word 'greener' adds some normative flavor.,knowledge,3,It states an observation about human tendency without presenting explicit premises or logical derivation. I am somewhat confident since proverbs can compress implicit reasoning.,everyday,4,"Comparing one's lawn, job, or life to a neighbor's is a common ordinary experience. I am very confident because the scenario is directly encounterable in daily life.",1,It is widely shared folk wisdom about envy that most adults recognize and use to interpret behavior.
