id,statement,statementSource,origLanguage,published,statementMedian,createdAt,updatedAt,statementCategory,parentId
1,1 plus 1 is 2,category response,En,0,1.0,2023-04-08 12:21:33,2023-04-08 12:21:33,Mathematics and logic,
2,5 is alot bigger than 1,category response,En,0,1.0,2023-04-08 12:21:33,2023-04-08 12:21:33,Mathematics and logic,
3,a balanced diet and regular exercise is needed to remain healthy,category response,En,0,1.0,2023-04-08 12:21:33,2023-04-08 12:21:33,Health and fitness,
4,a ball is round,Concept Net,En,0,1.0,2023-04-08 12:21:33,2023-04-08 12:21:33,Natural and physical sciences,
5,a baton twirler doesn't want a broken finger,Concept Net,En,0,1.0,2023-04-08 12:21:33,2023-04-08 12:21:33,Human activities,
6,a battery can't provide power forever,category response,En,0,1.0,2023-04-08 12:21:33,2023-04-08 12:21:33,General reference,
7,a bill is not wanted,Concept Net,En,0,1.0,2023-04-08 12:21:33,2023-04-08 12:21:33,General reference,
8,a birthday would make you want to bake a cake,Concept Net,En,0,1.0,2023-04-08 12:21:33,2023-04-08 12:21:33,Human activities,
9,a birthday would make you want to buy something for a loved one,Concept Net,En,0,1.0,2023-04-08 12:21:33,2023-04-08 12:21:33,Human activities,
10,a building where christians worship is called a church,category response,En,0,1.0,2023-04-08 12:21:33,2023-04-08 12:21:33,Religion and belief systems,
11,a cat doesn't want a bath,Concept Net,En,0,1.0,2023-04-08 12:21:33,2023-04-08 12:21:33,General reference,
12,a cat doesn't want its tail pulled,Concept Net,En,0,1.0,2023-04-08 12:21:33,2023-04-08 12:21:33,General reference,
13,a cat doesn't want to be wet,Concept Net,En,0,1.0,2023-04-08 12:21:33,2023-04-08 12:21:33,Natural and physical sciences,
14,a cat doesn't want to get wet,Concept Net,En,0,1.0,2023-04-08 12:21:33,2023-04-08 12:21:33,Natural and physical sciences,
15,a cat is a feline,Concept Net,En,0,1.0,2023-04-08 12:21:33,2023-04-08 12:21:33,Natural and physical sciences,
16,a celebrity is a person who works hard all his life to become well known then wears dark glasses to avoid being recognized,aphorism,En,0,0.0,2023-04-08 12:21:33,2023-04-08 12:21:33,Human activities,
17,a child does not laugh at the ugliness of its mother,aphorism,En,0,1.0,2023-04-08 12:21:33,2023-04-08 12:21:33,People and self,
18,a circle is round,Concept Net,En,0,1.0,2023-04-08 12:21:33,2023-04-08 12:21:33,General reference,
19,a computer can be turned on by pressing its power button,category response,En,0,1.0,2023-04-08 12:21:33,2023-04-08 12:21:33,Technology and applied sciences,
20,a computer virus is not living,Concept Net,En,0,1.0,2023-04-08 12:21:33,2023-04-08 12:21:33,Technology and applied sciences,
