statement,fact,fact_explanation,fact_confidence,physical,physical_explanation,physical_confidence,literal language,literal language_explanation,literal language_confidence,positive,positive_explanation,positive_confidence,knowledge,knowledge_explanation,knowledge_confidence,everyday,everyday_explanation,everyday_confidence,commonsense,design_point,model
"Because vaccines prevent deadly diseases, whole populations should be vaccinated.",1,"The premise is demonstrable and the conclusion follows instrumentally given the goal of saving lives, so it can be checked rather than merely felt. Somewhat confident since the prescriptive part invites opinion.",3,1,"It rests on immunology and epidemiology, biological facts rather than social conventions. Somewhat confident, since policy has a social aspect.",3,1,Every word means exactly what it says with no metaphor or hyperbole. Very confident.,4,0,The word 'should' makes it a prescription for action rather than a plain description. Very confident.,4,0,It explicitly derives a conclusion from a premise using 'because'. Very confident it is not a bare observation.,4,0,Population-level disease prevention cannot be observed by one person; it requires epidemiological data. Fairly confident it is not merely an everyday observation.,3,Most people readily accept that protecting communities from disease follows from vaccines working.,"['fact', 'physical', 'literal language', 'normative', 'reasoning', 'abstract']",anthropic/claude-fable-5.1
"Since carbon emissions warm the planet, humanity should burn fewer fossil fuels.",1,"The causal premise is measurable and the conclusion follows given the goal of limiting warming. Somewhat confident, as the 'should' has a value component.",3,1,"Based on atmospheric physics and chemistry, not human convention. Fairly confident.",3,1,Plain statement with no figurative language. Very confident.,4,0,It prescribes what humanity should do. Very confident it is not purely positive.,4,0,"Uses 'since' to link cause to a prescribed action, a logical inference. Very confident.",4,0,"Global warming is a planetary regularity known through aggregated science, not personal experience. Confident.",4,"People widely infer that if something causes harm at global scale, its cause should be curtailed.","['fact', 'physical', 'literal language', 'normative', 'reasoning', 'abstract']",anthropic/claude-fable-5.1
"Since antibiotics do not kill viruses, doctors should not prescribe them for colds.",1,"That antibiotics are ineffective against viruses is demonstrable, making the prescription checkable rather than subjective. Somewhat confident.",3,1,Grounded in microbiology and pharmacology rather than social rules. Fairly confident.,3,1,No idiom or metaphor is used. Very confident.,4,0,"It states what doctors should not do, a prescriptive norm. Very confident.",4,0,It infers a recommendation from a biological premise. Very confident.,4,0,The mechanism of antibiotics versus viruses is a microbiological generalization beyond direct experience. Fairly confident.,3,It is basic sense not to use a tool that cannot do the job.,"['fact', 'physical', 'literal language', 'normative', 'reasoning', 'abstract']",anthropic/claude-fable-5.1
"Because radiation damages living cells, nuclear waste must be stored far from people.",1,Radiation harm is measurable and the storage conclusion follows from the safety goal. Somewhat confident given the prescriptive framing.,3,1,Based on nuclear physics and biology. Fairly confident it is not socially constructed.,3,1,"Plain, direct language. Very confident.",4,0,'Must be stored' expresses an obligation. Very confident.,4,0,It derives a practice from a physical cause. Very confident.,4,0,"Cellular radiation damage is known through science, not everyday observation. Confident.",4,People naturally conclude that dangerous materials should be kept away from humans.,"['fact', 'physical', 'literal language', 'normative', 'reasoning', 'abstract']",anthropic/claude-fable-5.1
"Since lead harms brain development, it should not be used in drinking-water pipes.",1,"Lead's harm is demonstrable, so the conclusion can be objectively checked given the health goal. Somewhat confident.",3,1,Concerns chemistry and neurobiology. Fairly confident.,3,1,Means exactly what it says. Very confident.,4,0,Prescribes that lead should not be used. Very confident.,4,0,Explicitly infers a rule from a toxicological premise. Very confident.,4,0,"Lead neurotoxicity is established by toxicology studies, not individual experience. Confident.",4,Avoiding poisonous materials in water supply is an obvious inference.,"['fact', 'physical', 'literal language', 'normative', 'reasoning', 'abstract']",anthropic/claude-fable-5.1
"Because overfishing collapses fish populations, catch limits should be enforced.",1,Fishery collapses are documented and the remedy follows logically from the goal of sustaining fish. Somewhat confident.,3,1,"Based on population biology. Fairly confident, though enforcement is a social act.",3,1,No figurative expressions. Very confident.,4,0,It advocates enforcing limits. Very confident.,4,0,Conclusion derived from an ecological premise. Very confident.,4,0,Population collapse is an ecological regularity seen only in aggregate data. Confident.,4,People understand that taking too much of a renewable resource destroys it.,"['fact', 'physical', 'literal language', 'normative', 'reasoning', 'abstract']",anthropic/claude-fable-5.1
"Since steel bridges fatigue over decades, they must be inspected regularly.",1,Fatigue is measurable and inspection follows from the goal of preventing collapse. Somewhat confident.,3,1,Grounded in materials engineering. Confident.,4,1,Plain technical statement. Very confident.,4,0,'Must be inspected' is a prescriptive requirement. Very confident.,4,0,Infers a practice from a material-science premise. Very confident.,4,0,Metal fatigue over decades is an engineering regularity beyond one person's observation. Fairly confident.,3,Anyone grasps that aging structures need checking before they fail.,"['fact', 'physical', 'literal language', 'normative', 'reasoning', 'abstract']",anthropic/claude-fable-5.1
"Because germs spread by hands, surgeons should wash before operating.",1,"Hand transmission of microbes is demonstrable, so the recommendation is objectively grounded. Somewhat confident.",3,1,Based on microbiology. Fairly confident.,3,1,"Direct, literal wording. Very confident.",4,0,States what surgeons should do. Very confident.,4,0,Derives a rule from a biological premise. Very confident.,4,0,"Germ theory is a scientific generalization, invisible to unaided experience. Fairly confident.",3,It is obvious that one should not introduce contamination into an open wound.,"['fact', 'physical', 'literal language', 'normative', 'reasoning', 'abstract']",anthropic/claude-fable-5.1
"Since smoking causes lung cancer, people should not smoke.",1,The causal claim is demonstrable and the conclusion follows from the goal of health. Somewhat confident given personal-choice objections.,3,1,Rests on oncology and biology. Fairly confident.,3,1,No metaphor. Very confident.,4,0,Prescribes that people should not smoke. Very confident.,4,0,Explicit inference from cause to recommendation. Very confident.,4,0,"The smoking-cancer link is statistical, established through large studies. Confident.",4,Avoiding a known cause of fatal disease is universally regarded as sensible.,"['fact', 'physical', 'literal language', 'normative', 'reasoning', 'abstract']",anthropic/claude-fable-5.1
"Because Earth's fresh water is finite, it should not be wasted.",1,Finiteness is measurable and the conclusion follows from the need for water. Somewhat confident.,3,1,Based on hydrology and planetary science. Fairly confident.,3,1,Plain literal wording. Very confident.,4,0,Prescribes conservation. Very confident.,4,0,Infers a norm from a physical premise. Very confident.,4,0,Global water scarcity is a planetary fact known through hydrology. Confident.,4,People understand that limited essential resources should be conserved.,"['fact', 'physical', 'literal language', 'normative', 'reasoning', 'abstract']",anthropic/claude-fable-5.1
