statement,fact,fact_explanation,fact_confidence,physical,physical_explanation,physical_confidence,literal language,literal language_explanation,literal language_confidence,positive,positive_explanation,positive_confidence,knowledge,knowledge_explanation,knowledge_confidence,everyday,everyday_explanation,everyday_confidence,commonsense,design_point,model
Democracy is the best form of government.,0,It is a subjective value judgment; there is no objective demonstration that one system of government is best.,4,0,"Governments and democracy are human social constructions, not physical laws of nature.",4,1,It plainly says what it means with no metaphor or figure of speech.,4,0,"It expresses a value judgment about how societies ought to be governed, not an empirical regularity.",4,0,"The conclusion that democracy is best is reached by combining knowledge of history, governance, and values, not a bare observation.",3,0,No single person's experience can prove a governmental system is best; it is a generalization about political systems. It is not an everyday situation one encounters directly.,4,This is a widely shared political judgment that goes beyond any individual's direct experience and is generally accepted as sensible.,"['opinion', 'social', 'literal language', 'normative', 'reasoning', 'abstract']",z-ai/glm-5.3
"If a law is unjust, people should be allowed to protest it.",0,Whether protest should be allowed is inherently subjective and cannot be objectively proven correct.,4,0,"Laws, injustice, and protest are all socially constructed human concepts.",4,1,"It means exactly what it says, with no metaphor or hyperbole.",4,0,"It states what people should be allowed to do, a normative rule rather than a descriptive fact.",4,0,"It chains a premise (a law is unjust) to a conclusion (protest should be allowed), which requires combining values and logic.",4,0,It is a general principle about laws and protest not observable in any single everyday encounter.,3,A common moral-political judgment that combines a norm about protest with reasoning about injustice.,"['opinion', 'social', 'literal language', 'normative', 'reasoning', 'abstract']",z-ai/glm-5.3
Workers deserve a fair wage for an honest day's work.,0,What counts as fair is a subjective value judgment that cannot be objectively demonstrated.,4,0,"Wages, work, and fairness are human social conventions.",4,1,"Despite the idiom-like phrasing, the claim literally concerns wages and fairness, so I am only somewhat confident it avoids figurative language entirely.",2,0,"It expresses what workers deserve, a normative entitlement rather than a positive fact.",4,0,"The conclusion links honest work to deserving fair pay, an inference from values rather than a bare observation.",3,0,"It is a general principle about labor and fairness, not something verified by a single everyday experience.",3,This is a widely held social value about fairness in labor that goes beyond direct observation.,"['opinion', 'social', 'literal language', 'normative', 'reasoning', 'abstract']",z-ai/glm-5.3
Children should respect their elders.,0,It is a subjective value; whether children should respect elders cannot be objectively proven.,4,0,Respect and elders are social concepts rooted in human conventions.,4,1,It says plainly what it means without figures of speech.,4,0,"It prescribes how children ought to behave, a social norm rather than an empirical claim.",4,0,"It is more a direct normative prescription than an inferred conclusion, so I am somewhat unconfident it satisfies the reasoning feature.",2,0,"It is a general norm about respect, not something one directly observes as true from a single experience.",3,A common social norm about family and intergenerational relations that many cultures share.,"['opinion', 'social', 'literal language', 'normative', 'reasoning', 'abstract']",z-ai/glm-5.3
A person's character matters more than their appearance.,0,It is a subjective value judgment about what matters most.,4,0,Character and appearance-based judgment are socially constructed human concerns.,4,1,It is stated in plain words that mean exactly what they say.,4,0,It expresses a value about how we ought to judge and value people.,4,0,"It reflects a conclusion derived from combining moral values and life knowledge rather than a bare observation, though it reads like a direct maxim.",3,0,It is a general conclusion about character and appearance not verifiable from one person's everyday experience.,3,"A familiar moral maxim about how we should judge people, valued across cultures.","['opinion', 'social', 'literal language', 'normative', 'reasoning', 'abstract']",z-ai/glm-5.3
Everyone deserves a second chance after making a mistake.,0,Whether everyone deserves a second chance is inherently subjective.,4,0,"Mistakes, forgiveness, and second chances are human social concepts.",4,1,It means exactly what it says in plain language.,4,0,"It states what people deserve, a normative entitlement, not a descriptive fact.",4,0,"The conclusion generalizes from knowledge of human fallibility to a claim about desert, though it functions largely as a direct norm.",3,0,"It is a general principle about mistakes and forgiveness, not something observable in a single everyday event.",3,A common belief about forgiveness and redemption that most people consider sensible.,"['opinion', 'social', 'literal language', 'normative', 'reasoning', 'abstract']",z-ai/glm-5.3
Marriage should be a partnership of equals.,0,It is a subjective view; many societies have held otherwise and it cannot be objectively proven.,4,0,Marriage and equality are socially constructed human institutions and values.,4,1,It uses plain words meaning exactly what they say.,4,0,"It prescribes how marriage should be, a value judgment rather than an empirical description.",4,0,"It is a conclusion drawn from values about equality and knowledge of relationships, though stated directly as a norm.",3,0,"It is a general conclusion about marriage as an institution, not observable in one everyday encounter.",3,A widespread modern value about how spouses should treat each other.,"['opinion', 'social', 'literal language', 'normative', 'reasoning', 'abstract']",z-ai/glm-5.3
Honest people deserve more trust than skilled liars.,0,"Who deserves trust is a subjective judgment, so it cannot be objectively demonstrated.",4,0,"Honesty, trust, and lying are human social concepts.",4,1,It is plain language with no figurative expressions.,4,0,"It is about who deserves trust, a normative judgment about social value.",4,0,It combines knowledge of honesty and lying to conclude who merits trust.,3,0,It states a general rule linking honesty and trust beyond any single observed case.,3,A common-sense pairing of honesty with trustworthiness that most people accept.,"['opinion', 'social', 'literal language', 'normative', 'reasoning', 'abstract']",z-ai/glm-5.3
"If a friend needs help, you should try to help them.",0,"Whether one should help is a subjective moral view, not objectively provable.",4,0,Friendship and helping are socially constructed human relations.,4,1,It says exactly what it means in ordinary words.,4,0,"It prescribes what one should do, a social norm rather than a fact.",4,0,"It links a premise (a friend needs help) to a conclusion (you should help), an inferential structure.",4,0,"It is a general norm about friendship, though helping friends is an everyday-type situation, so I am somewhat unconfident.",2,A basic social norm of friendship and reciprocity that most people follow.,"['opinion', 'social', 'literal language', 'normative', 'reasoning', 'abstract']",z-ai/glm-5.3
People who break promises should apologize.,0,It is a subjective social expectation; one could reasonably disagree.,4,0,Promises and apologies are human social conventions.,4,1,It is stated plainly with no figures of speech.,4,0,"It states what people should do, a norm of social conduct.",4,0,"It connects breaking a promise to the conclusion that an apology is owed, an inference from social rules.",3,0,"It is a general rule about promise-breaking, not tied to a single everyday experience.",3,A common convention about promises and accountability that most people recognize.,"['opinion', 'social', 'literal language', 'normative', 'reasoning', 'abstract']",z-ai/glm-5.3
