statement,fact,fact_explanation,fact_confidence,physical,physical_explanation,physical_confidence,literal language,literal language_explanation,literal language_confidence,positive,positive_explanation,positive_confidence,knowledge,knowledge_explanation,knowledge_confidence,everyday,everyday_explanation,everyday_confidence,commonsense,design_point,model
What goes up must come down.,0,"The claim is not universally true (rockets and orbits stay up), so it remains a common subjective belief. Confidence 2 as some cases can be checked empirically unlike pure opinion.",2,1,"The statement describes gravity, an objective physical force that can be measured. Confidence 4 as it follows natural laws rather than human social constructs.",4,0,It functions as a familiar proverb rather than strictly literal wording. Confidence 3 because the phrase is often used figuratively even though gravity is real.,3,1,"It reports an empirical pattern of motion in the world, not a value judgment. Confidence 4 as it describes what happens rather than what ought to happen.",4,0,It draws the conclusion that ascent implies later descent by combining knowledge of gravity with logic. Confidence 3; it is not a bare observation but an inferred outcome.,3,0,It states a general physical regularity beyond any single personal observation of falling objects. Confidence 2 because falling items are also everyday events people witness directly.,2,"Humans routinely observe gravity pulling objects back after they rise, forming this basic expectation.","['opinion', 'physical', 'figure of speech', 'positive', 'reasoning', 'abstract']",x-ai/grok-4.6
"The bigger they are, the harder they fall.",0,"Impact severity also depends on height and surface, making the claim inherently subjective. Confidence 2 because experiments can partly confirm or refute it.",2,1,"The remark concerns mass, gravity and momentum, all measurable physical quantities. Confidence 4; it is unrelated to social conventions.",4,0,The wording is a well-known proverb employing hyperbole. Confidence 4 and it is not plain literal description.,4,1,It describes an observed physical tendency rather than prescribing behavior. Confidence 4 as no moral or social ought is present.,4,0,"It infers greater damage from greater size by linking mass and kinetic energy. Confidence 3; the statement is a derived conclusion, not raw data.",3,0,It generalizes a regularity of physics that exceeds any one person's isolated experience of crashes. Confidence 2 since people also see large objects fall in daily life.,2,"People notice that larger objects produce greater impact upon falling, a widely shared physical intuition.","['opinion', 'physical', 'figure of speech', 'positive', 'reasoning', 'abstract']",x-ai/grok-4.6
Lightning never strikes twice in the same place.,0,"The assertion is false yet widely held, hence purely subjective. Confidence 4 as no objective demonstration supports it.",4,1,"Lightning is an electrical discharge governed by atmospheric physics that can be measured. Confidence 4, independent of social rules.",4,0,"It is a classic proverb using exaggeration. Confidence 4, far from ordinary literal speech.",4,1,"It purports to state an empirical pattern of nature, not a norm. Confidence 3 even though the pattern itself is incorrect.",3,0,"It concludes uniqueness of strike location from incomplete knowledge of electricity. Confidence 3; it combines facts into an inference, not mere listing.",3,0,The claim asserts a broad meteorological regularity not limited to one observer's storm. Confidence 3 because individual strikes are also personally visible.,3,"Folk wisdom treats lightning as a one-time event at any given spot, a shared but inaccurate expectation.","['opinion', 'physical', 'figure of speech', 'positive', 'reasoning', 'abstract']",x-ai/grok-4.6
A rolling stone gathers no moss.,0,"Whether moss actually fails to grow is context-dependent, remaining a subjective saying. Confidence 2 as simple tests could check it.",2,1,Moss growth and stone movement are biological and mechanical facts that can be observed. Confidence 3 because the proverb is often applied socially.,3,0,"The phrase is a famous proverb and metaphor. Confidence 4, not literal everyday language.",4,1,It reports a supposed natural occurrence rather than a moral rule. Confidence 3 despite frequent figurative use.,3,0,It infers lack of accumulation from continuous motion using basic ecology. Confidence 3; the outcome is logically derived rather than simply noted.,3,0,It expresses a general regularity of biology and physics beyond one person's garden. Confidence 2 as rolling objects are commonplace.,2,Motion preventing growth is an everyday physical observation turned into common advice.,"['opinion', 'physical', 'figure of speech', 'positive', 'reasoning', 'abstract']",x-ai/grok-4.6
Nature abhors a vacuum.,0,"Modern physics shows vacuums exist, so the claim is a historically subjective view. Confidence 3 as it cannot be shown always true.",3,1,"The idea refers to pressure and atmospheric physics, empirically testable. Confidence 4 and unrelated to social beliefs.",4,0,The wording is an aphoristic personification of nature. Confidence 4 rather than plain literal prose.,4,1,"It describes an alleged scientific regularity, not a value. Confidence 4 even if outdated.",4,0,"It concludes that empty space will be occupied by combining pressure knowledge with logic. Confidence 3 as it is an inferred law, not raw observation.",3,0,It states a universal physical principle not reachable by one isolated experience. Confidence 3 because vacuums themselves are not everyday for most.,3,"People intuitively expect empty space to fill, reflecting a long-held physical intuition.","['opinion', 'physical', 'figure of speech', 'positive', 'reasoning', 'abstract']",x-ai/grok-4.6
"Where there's smoke, there's fire.",0,"Smoke can arise without fire (dust, steam), rendering the link subjective. Confidence 3 as it is not objectively exception-free.",3,1,"Combustion chemistry produces smoke, a measurable physical process. Confidence 4, not a social construct.",4,0,"It is a stock proverb used metaphorically. Confidence 4, not strictly literal wording.",4,1,It claims an empirical causal pattern in the world. Confidence 4 without any ought.,4,0,"The statement infers fire from smoke by combining chemical knowledge with logic. Confidence 4; it is explicitly a conclusion, not mere fact listing.",4,0,It asserts a general causal regularity beyond any single fire someone has seen. Confidence 2 since smoke and fire are everyday.,2,"Smoke is commonly taken as reliable evidence of combustion, a basic causal inference people share.","['opinion', 'physical', 'figure of speech', 'positive', 'reasoning', 'abstract']",x-ai/grok-4.6
Still waters run deep.,0,"Depth cannot be known from stillness alone, so the idea stays subjective. Confidence 3 as it cannot be universally proven.",3,1,Water flow and depth are hydrodynamic facts that can be measured. Confidence 3 though often used about people.,3,0,"The expression is a classic metaphor and proverb. Confidence 4, far from literal language.",4,1,"It describes an alleged physical tendency, not a social norm. Confidence 3 despite figurative overlay.",3,0,It infers greater depth from lack of surface motion using fluid knowledge. Confidence 3; it derives a conclusion rather than stating raw data.,3,0,The claim is a broad regularity of fluid behavior not limited to one pond. Confidence 2 as still water is commonly seen.,2,Calm surfaces hiding depth is a physical observation people readily generalize.,"['opinion', 'physical', 'figure of speech', 'positive', 'reasoning', 'abstract']",x-ai/grok-4.6
Oil and water don't mix.,0,"Emulsifiers can force mixing, making the absolute claim somewhat subjective. Confidence 2 since basic tests confirm it usually.",2,1,"The statement concerns polarity and density, objective chemical properties. Confidence 4 rather than social rules.",4,0,The phrase is frequently used as a metaphor for incompatibility. Confidence 3 even though the chemistry is real.,3,1,It reports an empirical chemical regularity. Confidence 4 with no normative content.,4,0,"It concludes non-mixing from molecular knowledge plus logic. Confidence 3 as an inferred outcome, not isolated observation.",3,0,It states a general chemical regularity beyond one kitchen experiment. Confidence 2 because mixing attempts occur daily.,2,Immiscibility of these liquids is a simple chemical fact almost everyone accepts.,"['opinion', 'physical', 'figure of speech', 'positive', 'reasoning', 'abstract']",x-ai/grok-4.6
A rising tide lifts all boats.,0,"Not every boat is identically affected, leaving the claim subjective. Confidence 3 as it cannot be shown exceptionless.",3,1,Tidal buoyancy is a measurable hydrostatic phenomenon. Confidence 3 as the saying is often economic.,3,0,"It is a well-known metaphor and proverb. Confidence 4, not plain description.",4,1,It describes an observed physical effect rather than a should. Confidence 3 despite common figurative use.,3,0,"It infers uniform lifting from the physics of displacement. Confidence 3; the result is deduced, not merely seen.",3,0,It generalizes a fluid-mechanical regularity past any single harbor visit. Confidence 2 because tides are ordinary.,2,"People see water level affecting every floating object equally, a shared physical picture.","['opinion', 'physical', 'figure of speech', 'positive', 'reasoning', 'abstract']",x-ai/grok-4.6
Time and tide wait for no man.,0,"Human technology can influence local tides, rendering the absolute version subjective. Confidence 2 because the core idea is largely factual.",2,1,"Time passage and tidal cycles are objective astronomical and physical processes. Confidence 4, independent of society.",4,0,"The line is a traditional proverb with personification. Confidence 4, not literal speech.",4,1,It reports an empirical regularity of nature. Confidence 4 without prescribing values.,4,0,It concludes independence from human will by combining temporal and gravitational knowledge. Confidence 3 as derived rather than listed.,3,0,The statement captures a cosmic regularity beyond one person's lifetime. Confidence 3 as tides themselves can be watched daily.,3,The relentless progress of clocks and oceans is a universal physical experience people acknowledge.,"['opinion', 'physical', 'figure of speech', 'positive', 'reasoning', 'abstract']",x-ai/grok-4.6
